0,1,2,3,4,5,/home/LAB/lishuo/jerry/DDKC/qwen2_1.5b_correct,/home/LAB/lishuo/jerry/DDKC/qwen2_1.5b_choiceA_probs,/home/LAB/lishuo/jerry/DDKC/qwen2_1.5b_choiceB_probs,/home/LAB/lishuo/jerry/DDKC/qwen2_1.5b_choiceC_probs,/home/LAB/lishuo/jerry/DDKC/qwen2_1.5b_choiceD_probs
"If the frequency of one source of sound is 500 Hz and a second sound source is 504 Hz, then when the two waves interfere with each other, the beat frequency will be",2 Hz,4 Hz,8 Hz,16 Hz,B,False,0.17072776,0.31647927,0.3729037,0.13988931
The loudness of a sound is most closely related to its,frequency,period,wavelength,amplitude,D,True,0.08493339,0.027573835,0.0059168534,0.8815759
The electric field inside the dome of a Van de Graaff generator is zero when the dome is,charged,uncharged,Either of these,Neither of these,C,False,0.25745586,0.5365841,0.17556964,0.030390482
The redness of a sunrise or sunset is due mostly to light that hasn’t been,absorbed,transmitted,scattered,polarized,C,False,0.4580043,0.056879845,0.4137724,0.07134331
"When a nucleus of uranium-238 emits an alpha particle, left behind is",thorium-242,thorium-238,thorium-234,radium-214,C,False,0.34504342,0.3241383,0.24659142,0.08422688
The Doppler effect occurs when a source of sound moves,toward you,away from you,Both of these,None of these,C,True,0.09545715,0.22809704,0.6704145,0.0060312767
"When a proton is plucked from an atomic nucleus, the atom has a decrease in",charge,energy,mass,all of these,D,True,0.18668616,0.06630549,0.22343409,0.5235743
"If the Sun were twice as massive, its pull on Mars would be",unchanged,twice as much,half as much,four times as much,B,True,0.08834999,0.49858537,0.21781582,0.19524883
During the time an aircraft produces a sonic boom the aircraft is,breaking the sound barrier,pulling out of a subsonic dive,flying faster than sound,Each of these produces a sonic boom,C,False,0.31842813,0.037004996,0.06571136,0.5788556
"When food is exposed to gamma radiation, the food",becomes slightly radioactive,doesn’t become radioactive,will spoil faster,should be avoided,B,False,0.5380685,0.37563232,0.07085546,0.0154437525
The red glow in the neon tube of an advertising sign is a result of,fluorescence.,coherence.,polarization.,de-excitation.,D,False,0.526431,0.060464583,0.03980884,0.37329552
Light that is not transmitted by opaque materials is,reflected or converted to internal energy in the material.,mainly reflected.,mainly refracted.,transmitted at a lower frequency.,A,True,0.8649002,0.06827554,0.04583803,0.020986179
Imagine you're standing on the surface of a shrinking planet. If it shrinks to one-tenth its original diameter with no change in mass on the shrunken surface you'd weigh,1/100 as much,10 times as much,100 times as much,1000 times as much,C,True,0.09851219,0.33719084,0.4099198,0.1543772
A magnetic force acting on a beam of electrons can change its,direction,energy,Both of these,Neither of these,A,False,0.37182283,0.02285923,0.58040726,0.024910579
Microscopic slush in water tends to make the water,more dense,less dense,more slippery,warmer,A,True,0.5148054,0.44033638,0.04342923,0.0014291361
The speed of sound in air depends on,frequency.,wavelength.,air temperature.,All of these.,C,False,0.0017909231,0.00095301156,0.06590405,0.9313521
Heat comes from the Sun to Earth by the process of,conduction,convection,radiation,"All of these, although radiation is greatest",C,True,0.0045794076,0.006585372,0.73487073,0.25396454
A torque is a force,like any other force,multiplied by a lever arm,that is fictitious,that accelerates things,B,True,0.044181336,0.92636764,0.023281928,0.006169097
All of the following are electromagnetic waves EXCEPT,microwaves,light waves,X-rays,None is outside the family; all are electromagnetic waves,D,True,0.018468753,0.014105277,0.045710597,0.9217154
Big brother and little sister can balance on a seesaw because of balanced,forces,torques,energies,All of these,B,True,0.23152472,0.51366,0.015941175,0.2388741
Any atom that emits an alpha particle or beta particle,becomes an atom of a different element always.,may become an atom of a different element.,becomes a different isotope of the same element.,increases its mass.,A,False,0.03211258,0.8153544,0.14618498,0.006348091
Regelation occurs due to water’s,high specific heat,open-structured ice crystals,high rate of expansion,slight tendency to freeze when its temperature is lowered,B,False,0.1860498,0.13558626,0.11196674,0.5663972
"A big fish swims upon and swallows a small fish that is at rest. Right after lunch, the fattened big fish has a change in",speed,momentum,Both,Neither,A,False,0.04916391,0.30352756,0.61795145,0.029357113
A capacitor can store,charge,energy,Both of these,Neither of these,C,True,0.13775691,0.028427744,0.8211016,0.0127136735
"For a tube closed at one end, the length of the tube at a frequency of 256 Hz will be",one-quarter the value for a tube open at both ends,one-half the value for a tube open at both ends,twice the value for a tube open at both ends,four times the value for a tube open at both ends,B,False,0.20015247,0.2630955,0.34047085,0.19628118
The period of a 10-Hz wave is,1/10 s,1.0 s,10 s,None of these,A,False,0.27559274,0.47618154,0.13378954,0.114436254
If the Sun collapsed to become a black hole Planet Earth would,continue in its present orbit.,likely be sucked into the black hole.,be pulled apart by tidal forces.,Both C and D.,A,False,0.059414815,0.21903491,0.054735493,0.6668148
The electric field between a pair of oppositely charged parallel plates,gets weaker with distance inside the plates,follows the inverse-square law,Both of these,Neither of these,D,False,0.037332874,0.18375885,0.7586898,0.020218398
The flight of a blimp best illustrates,Archimedes’ principle,Pascal’s principle,Bernoulli’s principle,Boyle’s law,A,False,0.11408666,0.105101556,0.7675536,0.013258178
The distance of your image behind a plane mirror is equal to,half your height,half your distance from the mirror,your distance in front of the mirror,more than your distance in front of the mirror,C,False,0.11170093,0.48331508,0.31696576,0.088018216
The discrete orbits of electrons are best understood when modeled by,high-speed particles,particles on springs,waves,photons,C,True,0.08936337,0.33725387,0.5389301,0.034452647
"Heat engines, such as a jet engine, are more efficient when run at",high temperatures,constant temperatures,low temperatures,a constant rate,A,True,0.66105336,0.070495814,0.2670897,0.0013610924
The phenomenon of interference occurs for,sound waves,light waves,Both of these,Neither of these,C,True,0.016046092,0.19855979,0.7792078,0.0061863195
As more lamps are connected in a series circuit the current in the power source,increases.,decreases.,remains much the same.,Need more information.,B,False,0.323304,0.19230098,0.4523836,0.03201143
"When you buy a pipe in a hardware store, the water isn’t included. When you buy copper wire, electrons",must be supplied by you,are included in the wire,may fall out—hence insulation,None of these,B,False,0.04004484,0.05781148,0.88337505,0.01876864
When a uranium nucleus undergoes fission the energy released is primarily in the form of,gamma radiation.,kinetic energy of fission fragments.,kinetic energy of ejected neutrons.,All of these about equally.,B,False,0.3094806,0.18697767,0.11838689,0.38515484
Most of the radiation in Earth’s biosphere is,natural background radiation,the result of military activities,from nuclear power plants,in the form of cosmic rays,A,True,0.964582,0.004792285,0.0055158865,0.02510978
When white light enters a prism green light is bent more than,blue light.,violet light.,red light.,None of these choices is correct.,C,False,0.3066784,0.35023776,0.26644683,0.076637074
When a ball at rest hangs by a single vertical string tension in the string is mg. If the ball is made to move in amhorizontal circle so that the string describes a cone string tension,is mg,is greater than mg always,is less than mg always,may be greater or less than mg depending on the speed of the ball,B,False,0.1944135,0.22289617,0.3281349,0.2545554
"When a tin can is whirled in a horizontal circle, the net force on the can acts",inward,outward,upward,None of these,A,True,0.49347836,0.38133052,0.078385204,0.046805944
The highest ocean tides occur when Earth and the Moon are,lined up with the Sun,at right angles to the Sun,at any angle to the Sun,lined up during spring,A,True,0.8211655,0.13776763,0.016844193,0.024222627
"Lift a 100-N crate with an ideal pulley system by pulling a rope downward with 25 N of force. For every 1-m length of rope pulled down, the crate rises",25 cm,25 m,50 cm,None of these,A,True,0.4350195,0.14628358,0.3133328,0.105364114
"Hot sand cools off faster at night than does vegetation. Compared with vegetation, sand’s specific heat capacity is",lower,higher,about the same,Can’t say,A,True,0.5362532,0.43089157,0.027013188,0.005842012
The color of light most intense in the solar radiation curve is,infrared,red,yellow-green,violet,C,False,0.14054787,0.39263952,0.3603063,0.106506325
"If the current in the filament of a lamp is 3 A, the current in the connecting wire is",less than 3 A,3 A,more than 3 A,Not enough information to say,B,True,0.39019635,0.42854685,0.11579325,0.06546357
"If two protons and two neutrons are removed from the nucleus of neon-20, a nucleus of which element remains?",Magnesium-22,Magnesium-20,Oxygen-18,Oxygen-16,D,True,0.15672268,0.2645196,0.21007122,0.36868647
"If a star that is 20 light-years from Earth explodes, gravitational waves from the explosion would reach Earth in",less than 20 years.,20 years.,more than 20 years.,None of these.,B,False,0.3719475,0.20540893,0.36333135,0.059312213
"In a mixture of hydrogen, oxygen, and nitrogen gases at a given temperature, the fastest molecules on average are those of",hydrogen,oxygen,nitrogen,All have same average speed,A,True,0.51916564,0.26516384,0.19705305,0.018617425
The mutual induction of electric and magnetic fields can produce,light,energy,Both of these,Neither of these,A,False,0.045993105,0.091468215,0.84772307,0.014815575
"When a model car speeds up to three times its original speed, its kinetic energy is",the same,twice as great,three times greater,None of these,D,False,0.11221793,0.27343607,0.5925915,0.02175444
"If an iron nucleus split in two, its fission fragments would have",less mass per nucleon,more mass per nucleon,the same mass per nucleon,either more or less mass per nucleon,B,True,0.22818662,0.3942711,0.34254867,0.034993548
The surface of Planet Earth loses energy to outer space due mostly to,conduction.,convection.,radiation.,radioactivity.,C,True,0.028979046,0.01306188,0.9265026,0.03145646
The direction of natural processes is from states of,higher order to lower order,lower order to higher order,disorganization to organization,disorder to equilibrium,A,False,0.40463075,0.4207494,0.07813543,0.09648438
A principal source of the Earth’s internal energy is,tidal friction.,gravitational pressure.,radioactivity.,solar radiation.,C,True,0.07913943,0.33580267,0.5080532,0.07700477
A diffraction grating relies on light,interference,amplitudes,variations in brightness,being composed of photons,A,True,0.76655734,0.028920935,0.17373559,0.030786177
A satellite in Earth orbit is above Earth’s,atmosphere,gravitational field,Both,Neither,A,False,0.10740284,0.3619226,0.5143957,0.016278869
The time it takes for a pendulum swinging to and fro refers to its,frequency,period,wavelength,amplitude,B,True,0.016346144,0.9801856,0.0023093377,0.0011589421
"As entropy in a system increases, energy in the system",becomes more ordered,becomes less ordered,reaches equilibrium,moves toward destruction,B,True,0.2397546,0.5236722,0.029891815,0.2066814
"When water changes to steam, energy is",absorbed by the water,released by the water,conserved as the phase change occurs,changed to a different form,A,False,0.07042788,0.30473208,0.60603213,0.018807895
"According to Coulomb, a pair of charged particles placed twice as close to each other experience a force",twice as strong,four times as strong,half as strong,one-fourth as strong,B,False,0.548029,0.26500952,0.11221209,0.074749365
"The factors, both of which will increase the magnetic field strength of an electromagnet, are",increased electrical current and fewer coils of wire,increased diameter of coil and an increase in the number of coils,an increase in the electrical current and using a strong ferromagnetic material like iron,using an air core instead of iron and increasing the diameter of the coil,C,True,0.037812524,0.3044716,0.6247352,0.03298067
The team that wins in a tug-of-war is the team that,produces more tension in the rope than the opponent,pushes hardest on the ground,Both,Neither,B,False,0.34135097,0.0661739,0.56942666,0.023048457
Which type of radiation from cosmic sources predominates on the inside of high-flying commercial airplanes?,Alpha,Beta,Gamma,None of these,C,True,0.292224,0.24321039,0.3871339,0.07743165
Thermal convection involves mainly,radiant energy,fluids,insulators,All of these,B,True,0.015195195,0.86605465,0.009926402,0.10882372
A 10-Ω resistor carries 10 A. The voltage across the resistor is,0,more than 0 but less than 10 V,10 V,more than 10 V,D,False,0.14004238,0.43644562,0.3479648,0.075547196
A cannonball is fired horizontally at 10 m/s from a cliff. Its speed one second after being fired is about,10 m/s,14 m/s,16 m/s,20 m/s,B,False,0.069476105,0.40137213,0.40769285,0.12145898
The average speed of a gazelle traveling a distance of 2 km in a time of one-half hour is,1 km/h,2 km/h,4 km/h,greater than 4 km/h,C,True,0.06337108,0.2710037,0.3881949,0.2774304
The metal detectors people walk through at airports operate via,Ohm’s law,Faraday’s law,Coulomb’s law,Newton’s laws,B,True,0.04522973,0.8839592,0.05455747,0.016253645
Sound travels in,solids,liquids,gases,All of these,D,True,0.0063673886,0.008049133,0.1548715,0.830712
When a fusion reaction converts a pair of hydrogen isotopes to an alpha particle and a neutron most of the energy released is in the form of,gamma radiation.,kinetic energy of the alpha particle.,kinetic energy of the neutron.,All of these about equally.,C,False,0.5471402,0.060672242,0.02197403,0.37021357
Polarization is a property of,transverse waves.,longitudinal waves.,all waves.,None of these.,A,True,0.4485059,0.21519548,0.2895772,0.04672144
The phenomenon of beats results from sound,reflection.,refraction.,interference.,All of these.,B,False,0.0066357963,0.0017175797,0.8358224,0.15582423
"The lowest possible temperature is absolute zero, at",0 kelvin,−273°C,Both are the same,None of these,C,False,0.52892,0.25082198,0.16068259,0.059575442
Refraction occurs when a wave crosses a boundary and changes,speed and direction,intensity,frequency,amplitude,A,True,0.9952095,0.0016368882,0.0010925344,0.0020611535
"When you tap a piece of wood, it will produce a characteristic sound related to its",wavelength,amplitude,period,natural frequency,D,True,0.012192363,0.048221733,0.029708548,0.90987736
"When wind speeds up as it blows over the top of a hill, atmospheric pressure there",increases,decreases,isn’t affected,reduces to zero,B,True,0.47044918,0.5047183,0.022089321,0.0027432865
"When white light passes through a prism, the light that bends more than green is",red,yellow,blue,None of these,C,True,0.2606193,0.12851293,0.5183034,0.09256439
"If you travel at high speed, then compared with your friends who “stay at home,” you are",older.,younger.,neither younger nor older.,longer.,B,True,0.16264544,0.541692,0.28769046,0.007972097
The component of velocity that can remain constant for a tossed baseball is,horizontal,vertical,Either of these,None of these,A,True,0.4107851,0.16532513,0.39504817,0.028841643
The crystals that make up minerals are composed of,atoms with a definite geometrical arrangement.,molecules that perpetually move.,X-ray patterns.,3-dimensional chessboards.,A,True,0.9859249,0.004729107,0.0024920644,0.0068539847
"Two vectors, one 3 N and the other 4 N, can have a resultant of",0 N,5 N,8 N,Any of these,B,False,0.2257817,0.13118385,0.06648074,0.57655376
Radioactivity has been around on Earth since the,middle of the 1900s,Industrial Revolution,advent of medical technology,Earth formed,D,True,0.06674106,0.09825234,0.018751787,0.8162548
"When the shadow of the Moon falls on Earth, we have a",lunar eclipse.,solar eclipse.,solar eclipse if it’s daytime and lunar eclipse if it’s nighttime.,very dangerous event.,B,False,0.20212029,0.1624082,0.6323784,0.003093105
"In both fission and fusion, energy is released while mass",decreases,remains unchanged; is conserved,increases,may decrease or increase,A,False,0.096998885,0.8578138,0.034721386,0.010466053
"When relatively slow-moving molecules condense from the air, the temperature of the remaining air tends to",remain unchanged,decrease,increase,spread out uniformly,C,True,0.039010454,0.36724055,0.59145147,0.0022974468
"If the volume of an object were to double, with no change in mass, its density would",halve.,double.,be the same.,None of these.,A,False,0.23436764,0.13724048,0.59847873,0.029913122
The pressure at the bottom of a pond does NOT depend on the,acceleration due to gravity.,water density.,depth of the pond.,surface area of the pond.,D,True,0.24844082,0.043511145,0.03271589,0.6753321
The blueness of the daytime sky is due mostly to light,absorption,transmission,reflection,scattering,D,True,0.09517747,0.04548861,0.39449963,0.46483418
A galvanometer can be calibrated to read electric,current,voltage,Either of these,Neither of these,C,False,0.7342484,0.105366126,0.13476533,0.025620136
Which of these temperatures is likely when a container of water at 20°C is mixed with water at 28°C?,19°C,22°C,30°C,Higher than 30°C,B,False,0.10412186,0.19991766,0.18345477,0.5125057
To view your full-face image in a steamy mirror compared with the height of your face the minimum height of the patch to wipe away is,one-quarter.,one-half.,the same.,dependent on your distance from the mirror.,B,True,0.25958073,0.4180622,0.16054897,0.16180818
The vibrations in a transverse wave move in a direction,along the wave,perpendicular to the wave,Both of these,Neither of these,B,True,0.066923015,0.7871247,0.13947955,0.0064727785
A 1134-Hz tuning fork is sounded at the same time a piano note is struck. You hear three beats per second. The frequency of the piano string is,1131 Hz,1134 Hz,1137 Hz,More information is needed,D,False,0.25633246,0.15127985,0.29735085,0.29503685
Huygens’ principle for light is primarily described by,waves,rays,particles,photons,A,True,0.47112608,0.41253176,0.038221836,0.07812036
"When the temperature of a strip of iron is increased, the length of the strip",also increases.,actually decreases.,may increase and may decrease.,decreases in width as it gets longer.,A,False,0.23658046,0.38101962,0.33103558,0.051364366
"When light undergoes interference, it can sometimes",build up to more than the sum of amplitudes,cancel completely,Both of these,Neither of these,B,False,0.076743014,0.035411082,0.87144244,0.016403481
When the color yellow is seen on your TV screen the phosphors being activated on the screen are,mainly yellow.,blue and red.,green and yellow.,red and green.,D,True,0.1767563,0.22695959,0.19795766,0.39832646
Which of these does NOT belong in the family of electromagnetic waves?,Light,Sound,Radio waves,X-rays,B,True,0.0035090654,0.9844356,0.0064039323,0.0056514507
A math book and a physics book sitting on a table are tied together with a length of string. With the string taut one book is pushed off the edge of the table. As it falls the other book is dragged horizontally across the table surface. With no friction acceleration of the books is,zero,g/2,g,a value between zero and g,D,True,0.19775984,0.10878757,0.26820213,0.42525047
A motor and a generator are,similar devices,very different devices,forms of transformers,energy sources,A,True,0.6118943,0.29821348,0.060822867,0.029069357
As more lamps are connected in parallel in a circuit the current in the power source,increases.,decreases.,remains much the same.,Need more information.,A,False,0.18778901,0.21279284,0.5784309,0.020987201
Newton’s law of cooling applies to objects that,cool,warm up,Both,Neither,C,True,0.14235918,0.09446194,0.74590874,0.017270127
The fact that the Moon always shows its same face to Earth is evidence that the Moon rotates about its axis about once per,day,month,year,None of these for the moon does not rotate about an axis,B,False,0.19733499,0.17688994,0.48083672,0.14493844
Consider a ball rolling in a horizontal circular path on the inside surface of a cone. The normal force on the ball,is mg,is greater than mg always,may be greater or less than mg,is less than mg always,B,False,0.04990078,0.15430681,0.6420872,0.15370522
The compressions and rarefactions in sound normally travel,in the same direction,in opposite directions,at right angles to each other,None of these,A,False,0.38593188,0.5072979,0.09872909,0.00804111
The power required to raise a 100-kg crate a vertical distance of 2 m in a time of 4 s is,200 W,500 W,800 W,2000 W,B,False,0.08161604,0.28486797,0.39549997,0.23801607
The phenomenon of beats is the result of sound,destruction,interference,resonance,amplification,B,True,0.0049033063,0.92713326,0.063339144,0.0046242587
Interference is characteristic of,sound waves,light waves,water waves,All of these,D,True,0.013334589,0.48120764,0.0050810482,0.50037676
"In either a fission event or a fusion event, a quantity that remains unchanged is the",kinetic energy,mass,number of nucleons,binding of nucleons,C,True,0.024315145,0.42266005,0.49801525,0.055009488
The magnetic force on a moving charged particle can change the particle's,speed,direction,Both of these,Neither of these,B,False,0.025298135,0.09547417,0.8677355,0.0114921965
"If you were to travel at a speed close to the speed of light, you could notice that your own",mass changes.,pulse decreases.,Both of these.,Neither of these.,D,False,0.30109316,0.14731541,0.37180042,0.17979093
Electricity and magnetism connect to form,mass,energy,ultrahigh-frequency sound,light,D,False,0.035056278,0.83944076,0.07567789,0.049825013
Sound travels in air by a series of,compressions,rarefactions,Both of these,Neither of these,C,True,0.08368365,0.018382857,0.8857357,0.012197882
"When a cannonball is fired from a cannon, both the cannonball and the cannon experience equal",amounts of force,accelerations,Both,Neither,A,False,0.09628124,0.1491233,0.7455696,0.00902579
The nucleus of an electrically neutral iron atom contains 26 protons. The number of electrons this iron atom has is,52,26,24,None.,B,False,0.19168696,0.25693735,0.3003902,0.2509854
