0,1,2,3,4,5,/home/LAB/lishuo/jerry/DDKC/qwen2_1.5b_correct,/home/LAB/lishuo/jerry/DDKC/qwen2_1.5b_choiceA_probs,/home/LAB/lishuo/jerry/DDKC/qwen2_1.5b_choiceB_probs,/home/LAB/lishuo/jerry/DDKC/qwen2_1.5b_choiceC_probs,/home/LAB/lishuo/jerry/DDKC/qwen2_1.5b_choiceD_probs
Operant conditioning would be most useful for,determining whether a toddler is securely attached,increasing on-task behavior in the classroom,measuring a dependent variable,preventing anterograde amnesia,B,True,0.007954295,0.963514,0.024215508,0.004316237
Which of these countries was not a member of the Axis alliance during World War II?,Germany,Italy,Spain,Japan,C,True,0.0041981246,0.0024583286,0.9574998,0.035843752
The demand for labor is called derived demand because it is,dependent on the demand for the final product that the labor is used to produce,inversely related to the wage rate,dependent on the availability of capital goods,directly related to the marginal utility of working,A,True,0.95642644,0.023116523,0.010876901,0.009580103
Which of the following actions is most important before removing the blade from a gas-powered lawn mower?,Adjusting the wheels to their highest level,Removing the spark plug,Emptying the gas tank,Removing the air filter,B,True,0.04776697,0.3937473,0.29721606,0.26126966
Which of the following is a force that is most responsible for causing a fixed-wing aircraft to move forward?,Lift,Drag,Thrust,Weight,C,False,0.63675594,0.07144204,0.2727976,0.019004347
Which of the following heavenly bodies have never had a spacecraft landed on it?,Venus,Mars,The Moon,Jupiter,D,True,0.29988545,0.17698355,0.18331629,0.33981472
The labor force primarily consists of all,employed workers under the age of 16,persons classified as unemployed or employed,persons who are employed as full-time workers,"unemployed, employed, and discouraged workers",B,True,0.004025916,0.7151125,0.030812137,0.25004944
Which of the following is an example of persuasive speech?,A campaign manager's introduction of a mayoral candidate,A professor's lecture on the structure of the heart,A company president's yearly sales report,A tour guide's discussion of an art museum installation,A,True,0.9940644,0.0021660293,0.0012959238,0.0024736833
What is the name of the POW camp where 'Hogan's Heroes' are held?,Stalag 13,Alcatraz 17,Devil's Island,Leavenworth,A,True,0.9651017,0.01948977,0.007058727,0.008349766
Which value is the most reasonable estimate of the volume of air an adult breathes in one day?,100 liters,"1,000 liters","10,000 liters","100,000 liters",C,True,0.06776499,0.29899317,0.5046465,0.12859535
What is a Dutch oven?,a toaster oven,a microwave,a kettle pot,a sauna,C,True,0.020414518,0.0027736179,0.97216696,0.004644936
What does it mean to work 'probono'?,work overtime,work without pay,work as your own boss,not work at all,B,True,0.0016280531,0.9898379,0.006801019,0.0017330536
What is the largest animal ever to live on Earth?,blue whale,giant squid,woolly mammoth,Tyrannosaurus,A,True,0.573676,0.1351996,0.27311072,0.018013606
Which of these is not a Hindudeity?,Shiva,Vishnu,Sanskrit,Brahma,C,True,0.012332802,0.027361518,0.8282324,0.13207321
What kind of angle is formed where two perpendicular lines meet?,obtuse,acute,right,invisible,C,True,0.030404897,0.15440883,0.81221086,0.0029754194
The nineteenth-century photographic process used to create a daguerreotype was notable for its,quick exposure time,ability to capture sharp detail,capacity to be reproduced multiple times,use of paper negatives,B,True,0.02148803,0.77847725,0.0387581,0.16127662
A business teacher has students analyze a scenario in which a few firms in the gas industry produce a homogeneous product and dominate the market. This situation would primarily produce a market structure representative of,an oligopoly,a pure monopoly,monopolistic competition,pure competition,A,False,0.218126,0.641108,0.079,0.061766066
In traditional English puppet shows who is married to the character Punch?,Debbie,Victoria,Judy,Barbara,C,False,0.13927336,0.25219145,0.21486981,0.3936653
In what sport do athletes compete for the Walker Cup?,cricket,tennis,squash,golf,D,True,0.01070957,0.008021098,0.046885114,0.9343842
A pita is a type of what?,Fresh Fruit,flat bread,French tart,fried bean dip,B,True,0.0010183596,0.9952148,0.002466891,0.0012999602
What is the oldest permanent European settlement in the United States?,St Augustine Florida,Plymouth Massachusetts,Newport News Virginia,Charlotte North Carolina,B,True,0.33847767,0.6423177,0.014414118,0.004790552
"As seen from Earth, the Moon goes through a series of phases due to changes in which of the following?",The amount of the Moon's surface that is in Earth's shadow,The amount of the illuminated side of the Moon that can be seen from Earth,The part of the Moon that faces Earth as the Moon rotates on its axis,The tilt of the Moon on its axis,B,True,0.03237187,0.606059,0.35351112,0.008057996
In which of the following fields did Islamic civilization most influence Europeans at the time of the Crusades?,Music,Theology,Mathematics,Law,C,False,0.19599295,0.21441692,0.27639434,0.31319582
Which of the following is not a flavor of Ben & Jerry's Ice Cream?,Wavy Gravy,Bovinity Divinity,Cutie Patootie,Chubby Hubby,C,False,0.24646941,0.3055403,0.19270186,0.25528848
Which of the following terms refers to the use of distortion to create the illusion of an object extending into space?,Cantilevering,Contrapposto,Sfumato,Foreshortening,D,True,0.27488258,0.06896034,0.17747752,0.4786796
How much energy do Americans waste each year by throwing out the unused ice in their drinks?,6*10^8 J,6*10^11 J,6*10^14 J,6*10^17 J,C,True,0.084626175,0.2467945,0.45748475,0.21109454
Who wrote 'A Tale of Two Cities'?,Charles Dickens,Nathaniel Hawthorne,Washington Irving,Mark Twain,A,True,0.99262094,0.0022402757,0.0022055435,0.002933306
What is your astrological sign if you were born on Halloween?,Scorpio,Capricorn,Libra,Cancer,A,True,0.32557765,0.24962905,0.14847918,0.27631414
In an adult human how long is the large intestine?,one foot,five feet,twelve feet,twenty feet,B,False,0.1338629,0.31986848,0.45462477,0.091643855
The purpose of an amicus curiae brief is to,influence the outcome of a Supreme Court case,explain the reasoning of a Supreme Court decision,request a writ of habeas corpus from the Supreme Court,order a party to comply with a Supreme Court decision,A,True,0.9796681,0.014417804,0.004212242,0.0017018997
What are the names of the two primary M&M's spokes-candies?,Peanut and Plain,Red and Yellow,Mort and Marty,They don't have names,B,True,0.23177695,0.32304987,0.31311068,0.13206252
The accumulation of stress along the boundaries of lithospheric plates results in which of the following?,Earthquakes,Magnetic reversals,Hurricanes,Increased deposition of deep-sea sediments,A,True,0.9267609,0.019234309,0.0017205313,0.052284274
In bowling how many pins must you knock down to get a strike?,zero,8,10,12,C,False,0.84039295,0.055864666,0.09282765,0.010914799
Which of the following geometric shapes is most commonly used to give strength to the structure of truss bridges?,Circle,Triangle,Hexagon,Rectangle,B,True,0.009152685,0.9594796,0.022214962,0.009152685
What kind of item is a ginsu?,radio,knife,toothbrush,martial arts weapon,B,True,0.0017925358,0.9769275,0.002083443,0.019196441
Which of these words is a synonym for 'perambulate'?,kiss,shout,stroll,heal,C,True,0.0037540195,0.0035265747,0.9893477,0.00337166
"After a visit to a rescue squad, Ms. Espinosa asks her 3-year-old students to help her write a thank-you letter to the rescue squad employees. She records the students' responses on a large sheet of chart paper as the students share their ideas. While writing, Ms. Espinosa focuses the students' attention on several early literacy skills. Which of the following is the most appropriate focus for 3-year-old students?",Paraphrasing ideas,Spelling words correctly,Expressing speech in print,Capitalizing proper nouns,C,True,0.16156103,0.086140245,0.7354687,0.01683002
What's the third letter of the Greek alphabet?,delta,gamma,phi,theta,B,True,0.17081112,0.47718397,0.20126468,0.15074028
"A well on the side of a hill penetrates the water table at an elevation of 550 feet above sea level. If someone plans to drill on the top of the hill, where would the water table most likely be found?",The water table would be found at sea level.,The water table would be found at an elevation lower than 550 feet above sea level but above sea level.,The water table would be found at an elevation higher than 550 feet above sea level but many feet below the land surface.,"The water table would intersect with the land surface at the top of the hill, forming a spring.",C,True,0.027771587,0.12593076,0.71066487,0.13563277
Before he went into coaching Phil Jackson played for which of the following NBA teams?,Boston Celtics,Los Angeles Lakers,New York Knicks,Philadelphia 76ers,C,True,0.053559665,0.4212794,0.48488963,0.040271338
Old-fashioned steam engines were powered by coal transferred from the tender to the engine by human stokers using a shovel. What is the maximum power such an engine could attain?,6*10^3 W,6*10^5 W,6*10^7 W,6*10^11 W,B,False,0.06335027,0.27303955,0.55155504,0.112055205
People are supposed to drive on the left-hand side of the road in which country?,France,Italy,England,Germany,C,True,0.23532109,0.10280418,0.39102185,0.27085292
In the famous ballet 'The Nutcracker' who does the hero defeat?,Sugar Plum Fairy,Rat King,Snow Queen,Marzipan,B,True,0.30203944,0.4714769,0.10727561,0.11920803
An airplane's black box is usually what color?,black,white,orange,purple,C,False,0.936774,0.036181062,0.02102195,0.006022889
Which of these sentences is written in the subjunctive?,I am not your man,I wish I were your man,Wherefore art your man?,Your man is where?,D,False,0.05268747,0.88766676,0.047228742,0.012416983
Which of the following terms refers to the process of using thick applications of paint?,Scumbling,Alla prima,Impasto,Frottage,C,True,0.0045118053,0.0060712975,0.9857631,0.003653771
What was Richard Nixon's middle name?,Michael,Milhous,Mortimer,Matthew,B,True,0.06714239,0.5470126,0.2793867,0.10645828
In what country did Pokemon originate?,France,Hungary,Japan,Canada,C,True,0.00067814573,0.0012969878,0.99682546,0.0011995175
What important food crop is grown in fields called paddies?,wheat,rye,corn,rice,D,True,0.00087552215,0.0003435297,0.00040715563,0.99837375
A triad on a color wheel can be described as,three analogous colors,three colors equally spaced apart,three colors of equal value,a complementary set,B,False,0.36351562,0.34015998,0.14179978,0.15452462
Which of these famous baseball figures was once acquitted at court-martial for insubordination?,Abner Doubleday,Ty Cobb,Jackie Robinson,Billy Martin,C,False,0.083664656,0.12510587,0.15090647,0.64032304
Which of the following best describes an effect of the green revolution in the 1960s?,Increased varieties of each crop planted,Increased use of fertilizers,Decreased use of mechanization,Decreased use of pesticides,B,True,0.28800154,0.67487556,0.0049360213,0.0321869
In what forest did Robin Hood live?,Black Forest,Petrified Forest,Nottingham Forest,Sherwood Forest,D,True,0.0019470978,0.0018078192,0.010988055,0.98525697
If a piece of music is in 'common time' how many quarter notes are there per measure?,one,four,five,ten,B,True,0.08107669,0.47949776,0.32191956,0.117505975
Which of these countries does not participate in NAFTA?,United States,Canada,Mexico,Guatemala,D,True,0.012732951,0.01132492,0.051353056,0.9245891
President Abraham Lincoln's Emancipation Proclamation declared free only those slaves who,were living in the areas still in rebellion,were serving in the Union armies,were living in the border states,had escaped to Northern states,A,True,0.93833154,0.037100654,0.012475801,0.012091961
Which of the following terms refers to Archaic Greek statues whose poses—rigidly frontal with clenched fists—recall the stance of ancient Egyptian statues?,Caryatids,Telamones,Discoboloi,Kouroi,D,True,0.030046882,0.12070915,0.29759327,0.55165076
In 1978 who became the youngest jockey ever to win horse racing's triple crown?,Jerry Bailey,Steve Cauthen,Willie Shoemaker,Pasquale Devito,B,False,0.2688944,0.2688944,0.070972145,0.39123905
What does the Latin phrase 'e pluribus unum' mean?,What a crazy life,In God we trust,from many one,for the greater good,C,True,0.0017625662,0.0017903226,0.99496573,0.0014813334
In the United States what is the first day of spring?,21-Feb,21-Mar,21-Apr,21-May,B,True,0.14172676,0.47945544,0.34804732,0.030770522
Which of the following is an example of a concurrent power?,The printing and coining of money,The power to declare war,The process of naturalization,The levying of taxes,D,False,0.19646019,0.28031912,0.38766724,0.13555346
Which of these animals shares its name with a luxury car?,yak,gazelle,sloth,jaguar,D,True,0.02069234,0.011836285,0.01611521,0.9513562
Who were the Know-Nothings?,a '60's comedy troupe,computer designers,a political party,a spy ring,C,True,0.0031376397,0.0012876848,0.9935489,0.0020258124
Which of the following poses the greatest safety risk while being heated in a school laboratory?,A mixture of iron and sulfur,Mercury(II) oxide,Sodium chloride,Copper(II) sulfate hydrate,B,True,0.05123908,0.93341166,0.0030353619,0.012313809
Who is the star of the TV show 'Everybody Loves Raymond'?,Ray Liotta,Ray Romano,Ray Parker Jr,Sugar Ray Leonard,B,True,0.0006547906,0.99693465,0.001943423,0.00046704465
In what sport do you find 'steel cage' matches?,boxing,fencing,pro wrestling,college basketball,C,True,0.019628659,0.0039259787,0.9719792,0.0044661285
Which of the following best helps explain why volcanoes tend to form along subduction zones?,Rock material carried deep below Earth's surface results in material melting and rising to the surface.,"Two plates pull away from each other, and magma oozes out.",The friction resulting from the collision of two continents causes rock to melt.,There is a row of hot spots at these boundaries.,A,True,0.65616214,0.30041292,0.0049321894,0.03849277
How many sides does a rhombus have?,4,6,8,10,A,True,0.50806993,0.28058288,0.15862718,0.052719958
Which of the following degrees can be awarded by the local chapter of the FFA? I. Greenhand FFA Degree II. Chapter FFA Degree III. State FFA Degree IV. American FFA Degree,I only,II only,I and II only,"I , II , III , and IV",C,False,0.061935358,0.1070147,0.23649687,0.59455305
From whom does the Lutheran Church get its name?,Martin Luther King Jr,Martin Luther,Luther Vandross,Lex Luthor,B,True,0.0051659737,0.99218154,0.0016969157,0.000955609
What is the only metal that is a liquid at normal atmospheric pressure and temperature?,lead,antimony,uranium,mercury,D,True,0.0068906043,0.009492208,0.003972428,0.9796448
"Which of the following has provided the most information about the structure of Earth's core, mantle, and lower crust?",Measurement of the intensity and fluctuations of Earth's magnetic field,Examination of flowing lava,Collection of samples from deep boreholes drilled into Earth,Studies of the speeds and travel paths of seismic waves passing through Earth,D,False,0.05597757,0.0066335397,0.46869445,0.46869445
"When the production of a good generates negative externalities, the private market will",overproduce the good relative to the socially optimal level of output,underproduce the good relative to the socially optimal level of output,compensate the third parties harmed by the negative externality,charge lower than the market equilibrium price to compensate for the externality,A,False,0.388005,0.46985516,0.10281109,0.039328746
Some observers argue that a limitation of the official unemployment rate is that it understates the true unemployment level because it fails to include which of the following?,New entrants to the labor market,People who are laid off and are looking for new jobs,Discouraged people who have given up looking for jobs,Full-time students looking for part-time jobs,C,True,0.023505796,0.076772064,0.87518436,0.024537824
Which fast food chain used the advertising slogan 'Where's the beef?',Wendy's,Kentucky Fried Chicken,Burger King,McDonald's,A,False,0.33685407,0.04740427,0.3787352,0.23700646
What city is known as 'the rubber capital of the world'?,Omaha Nebraska,Rockford Illinois,Grand Rapids Michigan,Akron Ohio,D,False,0.1290818,0.36771983,0.3001242,0.20307419
What was the first American college to become coeducational?,Oberlin College,Dartmouth College,Grinnell College,Antioch College,A,True,0.34630564,0.26038608,0.118285716,0.27502254
What color is Uncle Sam's goatee?,brown,black,white,dishwater blond,C,True,0.105871566,0.18581037,0.36522293,0.34309518
According to a famous line from the existentialist play 'No Exit' what is hell?,oneself,other people,little made,large hued in green and blue,B,False,0.64429283,0.111961305,0.116877,0.12686878
"A passage from Zora Neale Hurston's Their Eyes Were Watching God is as follows. The people all saw her come because it was sundown. The sun was gone, but he had left his footprints in the sky. It was the time for sitting on porches beside the road. It was the time to hear things and talk. These sitters had been tongueless, earless, eyeless conveniences all day long. Mules and other brutes had occupied their skins. But now, the sun and the bossman were gone, so the skins felt powerful and human. They became lords of sounds and lesser things. They passed nations through their mouths. They sat in judgment. Zora Neale Hurston is associated with which of the following literary movements?",New England Puritanism,Transcendentalism,Naturalism,Harlem Renaissance,D,True,0.0032968507,0.05878149,0.10397386,0.8339478
What is the 7-Eleven company's trademarked name for its super-large sodas?,Big Slurp,Big Gulp,Big Drink,Big Sip,B,True,0.014256398,0.9649242,0.016154615,0.0046646753
The sport of judo comes from what Asian country?,Japan,Vietnam,Laos,Philippines,A,True,0.99493355,0.0024470014,0.0013149119,0.0013046792
The demand for which of the following products is likely to be the most elastic?,Water,Bread,Salt,Pork,D,False,0.48548973,0.142951,0.135873,0.23568635
What country is the rock group U2 from?,England,Ireland,Belgium,Germany,B,True,0.029007137,0.9681184,0.0020767895,0.0007975521
Elephant tusks are made of what material?,Coral,Ivory,Bone,Calcium,B,True,0.0030539166,0.97843677,0.017437315,0.0010720255
What city did the Beatles originally call home?,London,Leeds,Liverpool,Manchester,C,True,0.024795795,0.014406872,0.94880694,0.011990462
Which of these is not one of the three branches of the US government?,Judicial,Executive,Parliamentary,Legislative,C,True,0.00065712025,0.0011668765,0.99658114,0.0015949311
In British currency how many pence make a pound?,10,100,500,1000,B,True,0.003379461,0.94069827,0.031813912,0.024108391
How are actors Charlie Sheen and Emilio Estevez related?,They're cousins,They're brothers,They're father and son,They're uncle and nephew,B,True,0.151339,0.42944387,0.17832091,0.24089617
Which of the following requires the use of at least two needles?,macrame,braiding,crocheting,hand knitting,D,True,0.076599665,0.29363653,0.21566989,0.41409388
In 1909 Frederick Cook claimed to be the first explorer to reach what location?,Mount Everest,Bermuda Triangle,Atlantis,North Pole,D,True,0.065466024,0.19091797,0.09268323,0.6509327
A clothes dryer that is set to run for 30 minutes is an example of which of the following control systems?,Open loop,Closed loop,Negative feedback,Positive feedback,A,False,0.28854087,0.6228888,0.059776824,0.028793488
How many stars are on the American flag?,13,48,50,51,C,False,0.53188473,0.039597683,0.41423225,0.014285417
Who was the English king at the time of the American Revolution?,Charles I,James I,Edward III,George III,D,False,0.63099134,0.15829805,0.027081603,0.18362895
Which of these animals lays eggs?,cow,gerbil,frog,elephant,C,False,0.4809722,0.16883713,0.090725705,0.25946504
"An enterprise analysis shows an average return of $151 for each $100 of feed fed to hogs last year and a return of $130 for each $100 of feed fed to hogs this year. Assuming that feed costs are stable and there are no major death losses, which of the following is the most likely explanation for the difference in returns?",Lower feed efficiency,Poor record keeping,Lower market prices,Lower purchase prices,C,False,0.70422363,0.052427944,0.108418874,0.13492948
"If tickets to a baseball game generally cost between $10 and $30, a season has about 150 games, and each game is attended by 50,000-75,000 people, which of the following is a good estimate for ticket sales revenue for the 150 games combined?","$20,000,000","$200,000,000","$2,000,000,000","$20,000,000,000",B,True,0.16754326,0.46260178,0.25151223,0.11834278
Which of these is not a breed of cat?,Persian,Turkish Angora,Bichon Frise,Maine Coon,C,True,0.0006752311,0.0027321703,0.99093705,0.0056555388
Approximately how many movies are watched in homes in the United States in one year?,"200,000,000","2,000,000,000","20,000,000,000","200,000,000,000",C,False,0.16063684,0.3454235,0.29087573,0.20306398
Which of these is not found in a Snickers candy bar?,almonds,chocolate,nougat,caramel,A,True,0.89419204,0.019072821,0.051241286,0.035493802
In the children's game what color is 'Rover'?,Green,black,red,blue,C,True,0.21286702,0.21537623,0.39459312,0.17716366
Which of the following breakfast cereals is shaped like the letter O?,Life Corn,Chex,Cheerios,Raisin Bran,C,False,0.20312047,0.40395328,0.31583044,0.07709584
"Normally, S-P arrival intervals from a minimum of how many seismic stations are required to uniquely locate the epicenter of an earthquake?",1,2,3,4,C,True,0.044055354,0.19286865,0.66533494,0.097741075
Which character on the TV show 'Friends' is a chef?,Joey,Monica,Ross,Rachel,B,False,0.17402214,0.2716447,0.15599243,0.39834064
"If the tax rate for a single person with $25,000 in taxable income is 24 percent, and the tax rate for a single person with $20,000 in taxable income is 20 percent, the tax rate over this income range is",regressive,progressive,proportional,revenue-neutral,B,True,0.32997423,0.6460582,0.022020709,0.0019468293
The aesthetic philosophy that claims that the value of a work of art is determined by museums and galleries is known as,capitalism,conceptualism,structuralism,institutionalism,D,True,0.0010749793,0.0049609556,0.0032030335,0.990761
What is your hallux?,earlobe,tongue,eyelid,big toe,D,True,0.0018697687,0.0014086214,0.0013078607,0.9954137
What metal device is used by police to immobilize the wheels of repeat parking offenders?,Brooklyn clamp,Denver boot,LoJack,The Club,B,True,0.22938116,0.5459747,0.029970957,0.19467326
What disease is sometimes referred to as the 'royaldisease'?,rickets,measles,hemophilia,tuberculosis,C,True,0.17988071,0.039207045,0.75143254,0.02947965
Which of the following statements accurately describes a JPEG compressed digital photograph?,The JPEG format is used only for color photos.,A JPEG compression alters the proportions of the original image by rearranging data.,A JPEG compression sharpens the details in an image.,The JPEG format compresses file size by selectively discarding data.,D,True,0.0032887536,0.060380425,0.010090581,0.92624027
What do herpetologists study?,Herpes,Blood,Insects,Reptiles and amphibians,D,True,0.0005491885,0.0002465736,0.00041293306,0.9987913
Which of these is a virus?,Staphylococcus,Leukemia,Scoliosis,Chicken pox,D,True,0.0048706,0.015179349,0.003426895,0.9765231
What new token was recently added to the Monopoly board game?,piggybank,sack of money,globe,telephone,B,False,0.11670015,0.16393198,0.37232387,0.34704402
What is considered the proper way to address a duke?,Your Majesty',Your Eminence',Your Excellency',Your Grace',D,True,0.035101842,0.26242682,0.106445014,0.5960263
Which of the following is about the Watergate scandal?,All the King's Men',All the Pretty Horses',All the President's Men',All the Right Moves',C,True,0.0019655856,0.0007772882,0.9946121,0.0026449848
What causes the disease toxoplasmosis?,a bacterium,a protozoan,a virus,a prion,B,True,0.001509901,0.9964825,0.0014520575,0.00055546156
Which of these rock guitarists designed a colorful line of men's neckties?,Eric Clapton,Jerry Garcia,Jeff Beck,Keith Richards,B,False,0.072525114,0.035070855,0.52552706,0.366877
In mobster lingo if you 'sing like a canary' what are you doing?,impersonating Sinatra,talking to the cops,killing an enemy,betting on horses,B,True,0.30818537,0.38655105,0.26155353,0.04370998
Where did Lewis and Clark begin their famous expedition in 1804?,Seattle,St Louis,New Orleans,Washington DC,B,True,0.066500716,0.5858091,0.33640188,0.011288395
According to a popular slogan what state should people not 'mess with'?,New York,Texas,Montana,Rhode Island,B,True,0.16713591,0.599533,0.12372063,0.10961041
Each year in pro baseball the player voted as the best fielder at his position wins what?,a brand new car,the Gold Glove,the Silver Bat,the Brass Baseball,B,True,0.006224258,0.987188,0.0043114177,0.002276399
