0,1,2,3,4,5,/home/incoming/LLM/llama3/llama3-8b-instruct_correct,/home/incoming/LLM/llama3/llama3-8b-instruct_choiceA_probs,/home/incoming/LLM/llama3/llama3-8b-instruct_choiceB_probs,/home/incoming/LLM/llama3/llama3-8b-instruct_choiceC_probs,/home/incoming/LLM/llama3/llama3-8b-instruct_choiceD_probs
What US president is mentioned by name in the opening theme song of TV's 'All in the Family'?,Calvin Coolidge,Harry Truman,Herbert Hoover,Richard Nixon,C,False,0.25508046,0.120963074,0.08815346,0.535803
What is the heaviest confirmed noble gas?,Xenon,Argon,Radon,Krypton,C,True,0.04636727,0.00620202,0.93861586,0.008814848
How many moles of HCl must be added to sufficient water to form 3 liters of a 2 M HCI solution?,1 mol,2 mol,3 mol,6 mol,D,False,0.14066061,0.39142245,0.26484966,0.20306729
Who led the 1831 slave insurrection in SouthamptonVirginia?,John Brown,Dred Scott,Nat Turner,Harriet Tubman,C,True,0.00271942,0.00092523603,0.99501956,0.0013357343
For what purpose would you use an awl?,to shoot ducks,to polish floors,to make holes,to weigh fruit,C,True,0.0003904182,0.00022684108,0.9993643,1.8475344e-05
Which of these bones is located in the wrist?,Patella,Humerus,Carpals,Coccyx,C,True,0.00030406372,0.00025405476,0.9993832,5.8601072e-05
What do you call a young cow?,mare,lamb,kid,calf,D,True,8.320249e-05,0.000121532714,0.0014491017,0.9983462
Which of these is an Italian Design firm?,Escada,Fendi,Ghost,Mainbocher,B,True,0.07363173,0.8592907,0.05324252,0.013834992
Operant conditioning would be most useful for,determining whether a toddler is securely attached,increasing on-task behavior in the classroom,measuring a dependent variable,preventing anterograde amnesia,B,True,0.0011546313,0.997747,0.0007542735,0.00034398524
Which of these countries was not a member of the Axis alliance during World War II?,Germany,Italy,Spain,Japan,C,True,0.0021452848,0.0012081056,0.9961494,0.00049726025
The demand for labor is called derived demand because it is,dependent on the demand for the final product that the labor is used to produce,inversely related to the wage rate,dependent on the availability of capital goods,directly related to the marginal utility of working,A,True,0.99934536,0.00042586125,0.00012576146,0.00010289441
Which of the following actions is most important before removing the blade from a gas-powered lawn mower?,Adjusting the wheels to their highest level,Removing the spark plug,Emptying the gas tank,Removing the air filter,B,True,0.007976875,0.57248366,0.40913564,0.010403806
Which of the following is a force that is most responsible for causing a fixed-wing aircraft to move forward?,Lift,Drag,Thrust,Weight,C,True,0.0008677864,0.0016532146,0.9973137,0.00016529678
Which of the following heavenly bodies have never had a spacecraft landed on it?,Venus,Mars,The Moon,Jupiter,D,True,0.29212525,0.022791814,0.03189148,0.6531914
The labor force primarily consists of all,employed workers under the age of 16,persons classified as unemployed or employed,persons who are employed as full-time workers,"unemployed, employed, and discouraged workers",B,True,0.0013991252,0.95641404,0.0006544772,0.04153233
Which of the following is an example of persuasive speech?,A campaign manager's introduction of a mayoral candidate,A professor's lecture on the structure of the heart,A company president's yearly sales report,A tour guide's discussion of an art museum installation,A,True,0.99873036,0.00030565078,0.00052196445,0.00044212112
What is the name of the POW camp where 'Hogan's Heroes' are held?,Stalag 13,Alcatraz 17,Devil's Island,Leavenworth,A,True,0.9986552,0.00050193054,0.0007432555,9.961116e-05
Which value is the most reasonable estimate of the volume of air an adult breathes in one day?,100 liters,"1,000 liters","10,000 liters","100,000 liters",C,True,0.03302897,0.10745504,0.61354893,0.24596703
What is a Dutch oven?,a toaster oven,a microwave,a kettle pot,a sauna,C,False,0.62727773,0.010178683,0.3423798,0.02016381
What does it mean to work 'probono'?,work overtime,work without pay,work as your own boss,not work at all,B,True,0.0025313834,0.993687,0.0016666194,0.00211505
What is the largest animal ever to live on Earth?,blue whale,giant squid,woolly mammoth,Tyrannosaurus,A,True,0.99740714,0.0020336793,0.00033004943,0.00022906552
Which of these is not a Hindudeity?,Shiva,Vishnu,Sanskrit,Brahma,C,True,0.0009112512,0.0012286198,0.9934701,0.004389999
What kind of angle is formed where two perpendicular lines meet?,obtuse,acute,right,invisible,C,True,0.0002889283,0.00038879554,0.9991059,0.0002163973
The nineteenth-century photographic process used to create a daguerreotype was notable for its,quick exposure time,ability to capture sharp detail,capacity to be reproduced multiple times,use of paper negatives,B,True,0.035531532,0.66262007,0.0101007335,0.29174766
A business teacher has students analyze a scenario in which a few firms in the gas industry produce a homogeneous product and dominate the market. This situation would primarily produce a market structure representative of,an oligopoly,a pure monopoly,monopolistic competition,pure competition,A,True,0.9818761,0.009078158,0.0069062985,0.0021394715
In traditional English puppet shows who is married to the character Punch?,Debbie,Victoria,Judy,Barbara,C,False,0.4645521,0.4737146,0.019193089,0.04254017
In what sport do athletes compete for the Walker Cup?,cricket,tennis,squash,golf,D,True,0.0034677163,0.00044781336,0.00017882504,0.99590564
A pita is a type of what?,Fresh Fruit,flat bread,French tart,fried bean dip,B,True,0.00025307984,0.99944466,0.00014936028,0.00015290226
What is the oldest permanent European settlement in the United States?,St Augustine Florida,Plymouth Massachusetts,Newport News Virginia,Charlotte North Carolina,B,False,0.99968183,0.00024970254,6.2034596e-05,6.4338883e-06
"As seen from Earth, the Moon goes through a series of phases due to changes in which of the following?",The amount of the Moon's surface that is in Earth's shadow,The amount of the illuminated side of the Moon that can be seen from Earth,The part of the Moon that faces Earth as the Moon rotates on its axis,The tilt of the Moon on its axis,B,True,0.0059755244,0.98934865,0.0039961366,0.00067966426
In which of the following fields did Islamic civilization most influence Europeans at the time of the Crusades?,Music,Theology,Mathematics,Law,C,True,0.014559873,0.0131537495,0.94771194,0.02457444
Which of the following is not a flavor of Ben & Jerry's Ice Cream?,Wavy Gravy,Bovinity Divinity,Cutie Patootie,Chubby Hubby,C,False,0.03255496,0.88853186,0.025552684,0.053360485
Which of the following terms refers to the use of distortion to create the illusion of an object extending into space?,Cantilevering,Contrapposto,Sfumato,Foreshortening,D,False,0.021133997,0.004808639,0.6730505,0.3010068
How much energy do Americans waste each year by throwing out the unused ice in their drinks?,6*10^8 J,6*10^11 J,6*10^14 J,6*10^17 J,C,True,0.057137165,0.22422327,0.45649594,0.26214358
Who wrote 'A Tale of Two Cities'?,Charles Dickens,Nathaniel Hawthorne,Washington Irving,Mark Twain,A,True,0.99982893,0.0001114724,3.760387e-05,2.2036127e-05
What is your astrological sign if you were born on Halloween?,Scorpio,Capricorn,Libra,Cancer,A,True,0.9958692,0.002841241,0.0009799908,0.0003094991
In an adult human how long is the large intestine?,one foot,five feet,twelve feet,twenty feet,B,False,0.03304508,0.031408906,0.6663259,0.26922002
The purpose of an amicus curiae brief is to,influence the outcome of a Supreme Court case,explain the reasoning of a Supreme Court decision,request a writ of habeas corpus from the Supreme Court,order a party to comply with a Supreme Court decision,A,True,0.99749434,0.0011253984,0.00067331985,0.00070701266
What are the names of the two primary M&M's spokes-candies?,Peanut and Plain,Red and Yellow,Mort and Marty,They don't have names,B,False,0.09059243,0.08248535,0.6615939,0.1653283
The accumulation of stress along the boundaries of lithospheric plates results in which of the following?,Earthquakes,Magnetic reversals,Hurricanes,Increased deposition of deep-sea sediments,A,True,0.9996375,0.00017602336,9.9320416e-05,8.722302e-05
In bowling how many pins must you knock down to get a strike?,zero,8,10,12,C,True,0.0042942045,0.0036874036,0.98709506,0.0049233297
Which of the following geometric shapes is most commonly used to give strength to the structure of truss bridges?,Circle,Triangle,Hexagon,Rectangle,B,True,0.0031904224,0.99072266,0.0044121942,0.00167468
What kind of item is a ginsu?,radio,knife,toothbrush,martial arts weapon,B,True,0.016928114,0.81564224,0.0055605364,0.16186915
Which of these words is a synonym for 'perambulate'?,kiss,shout,stroll,heal,C,True,0.0008351633,0.00034543854,0.99805605,0.000763401
"After a visit to a rescue squad, Ms. Espinosa asks her 3-year-old students to help her write a thank-you letter to the rescue squad employees. She records the students' responses on a large sheet of chart paper as the students share their ideas. While writing, Ms. Espinosa focuses the students' attention on several early literacy skills. Which of the following is the most appropriate focus for 3-year-old students?",Paraphrasing ideas,Spelling words correctly,Expressing speech in print,Capitalizing proper nouns,C,True,0.011460611,0.0036203556,0.98440856,0.0005104758
What's the third letter of the Greek alphabet?,delta,gamma,phi,theta,B,True,0.006543121,0.982532,0.00961361,0.0013112649
"A well on the side of a hill penetrates the water table at an elevation of 550 feet above sea level. If someone plans to drill on the top of the hill, where would the water table most likely be found?",The water table would be found at sea level.,The water table would be found at an elevation lower than 550 feet above sea level but above sea level.,The water table would be found at an elevation higher than 550 feet above sea level but many feet below the land surface.,"The water table would intersect with the land surface at the top of the hill, forming a spring.",C,True,0.018629406,0.0787397,0.81410146,0.08852943
Before he went into coaching Phil Jackson played for which of the following NBA teams?,Boston Celtics,Los Angeles Lakers,New York Knicks,Philadelphia 76ers,C,False,0.083802916,0.85301775,0.036184255,0.0269951
Old-fashioned steam engines were powered by coal transferred from the tender to the engine by human stokers using a shovel. What is the maximum power such an engine could attain?,6*10^3 W,6*10^5 W,6*10^7 W,6*10^11 W,B,True,0.23956873,0.40593138,0.19860946,0.15589036
People are supposed to drive on the left-hand side of the road in which country?,France,Italy,England,Germany,C,True,0.009218182,0.0009907521,0.98926187,0.0005292766
In the famous ballet 'The Nutcracker' who does the hero defeat?,Sugar Plum Fairy,Rat King,Snow Queen,Marzipan,B,True,0.009418319,0.987326,0.0012305981,0.0020249544
An airplane's black box is usually what color?,black,white,orange,purple,C,False,0.85631496,0.10718038,0.03576097,0.00074364623
Which of these sentences is written in the subjunctive?,I am not your man,I wish I were your man,Wherefore art your man?,Your man is where?,D,False,0.010640441,0.8962825,0.08304224,0.010034891
Which of the following terms refers to the process of using thick applications of paint?,Scumbling,Alla prima,Impasto,Frottage,C,True,0.0009655698,0.00020478018,0.998615,0.00021460777
What was Richard Nixon's middle name?,Michael,Milhous,Mortimer,Matthew,B,True,0.0023057726,0.9863483,0.0095571615,0.0017887366
In what country did Pokemon originate?,France,Hungary,Japan,Canada,C,True,0.0030264985,0.00033429926,0.9965321,0.000107057356
What important food crop is grown in fields called paddies?,wheat,rye,corn,rice,D,True,0.00012005449,5.3169904e-05,4.7847738e-05,0.9997789
A triad on a color wheel can be described as,three analogous colors,three colors equally spaced apart,three colors of equal value,a complementary set,B,True,0.27056465,0.6855343,0.021950552,0.021950552
Which of these famous baseball figures was once acquitted at court-martial for insubordination?,Abner Doubleday,Ty Cobb,Jackie Robinson,Billy Martin,C,True,0.14442746,0.1708432,0.46621758,0.21851179
Which of the following best describes an effect of the green revolution in the 1960s?,Increased varieties of each crop planted,Increased use of fertilizers,Decreased use of mechanization,Decreased use of pesticides,B,True,0.3722552,0.45967382,0.014099539,0.15397145
In what forest did Robin Hood live?,Black Forest,Petrified Forest,Nottingham Forest,Sherwood Forest,D,True,0.00028072298,0.00011364408,0.0019638867,0.9976418
If a piece of music is in 'common time' how many quarter notes are there per measure?,one,four,five,ten,B,True,0.027559008,0.930629,0.024225922,0.017586134
Which of these countries does not participate in NAFTA?,United States,Canada,Mexico,Guatemala,D,True,0.0019765783,0.0011240228,0.0006243922,0.99627507
President Abraham Lincoln's Emancipation Proclamation declared free only those slaves who,were living in the areas still in rebellion,were serving in the Union armies,were living in the border states,had escaped to Northern states,A,True,0.9993781,0.0003124911,0.00019046315,0.00011895623
Which of the following terms refers to Archaic Greek statues whose poses—rigidly frontal with clenched fists—recall the stance of ancient Egyptian statues?,Caryatids,Telamones,Discoboloi,Kouroi,D,True,0.007952169,0.08684021,0.06504031,0.8401673
In 1978 who became the youngest jockey ever to win horse racing's triple crown?,Jerry Bailey,Steve Cauthen,Willie Shoemaker,Pasquale Devito,B,True,0.000864643,0.9975903,0.000799664,0.00074536883
What does the Latin phrase 'e pluribus unum' mean?,What a crazy life,In God we trust,from many one,for the greater good,C,True,0.0034971405,0.0020964108,0.9926549,0.001751617
In the United States what is the first day of spring?,21-Feb,21-Mar,21-Apr,21-May,B,False,0.012430271,0.26473477,0.71962374,0.003211118
Which of the following is an example of a concurrent power?,The printing and coining of money,The power to declare war,The process of naturalization,The levying of taxes,D,False,0.34601367,0.26842514,0.055392656,0.33016855
Which of these animals shares its name with a luxury car?,yak,gazelle,sloth,jaguar,D,True,0.0007727989,0.00038406052,0.00027127794,0.9985719
Who were the Know-Nothings?,a '60's comedy troupe,computer designers,a political party,a spy ring,C,True,0.00072026934,0.0006184903,0.9984908,0.000170412
Which of the following poses the greatest safety risk while being heated in a school laboratory?,A mixture of iron and sulfur,Mercury(II) oxide,Sodium chloride,Copper(II) sulfate hydrate,B,True,0.040064324,0.94818413,0.0033535433,0.008397939
Who is the star of the TV show 'Everybody Loves Raymond'?,Ray Liotta,Ray Romano,Ray Parker Jr,Sugar Ray Leonard,B,True,7.126061e-05,0.9996613,0.00018161528,8.5788975e-05
In what sport do you find 'steel cage' matches?,boxing,fencing,pro wrestling,college basketball,C,True,0.0038359517,0.00053145067,0.9952673,0.00036526035
Which of the following best helps explain why volcanoes tend to form along subduction zones?,Rock material carried deep below Earth's surface results in material melting and rising to the surface.,"Two plates pull away from each other, and magma oozes out.",The friction resulting from the collision of two continents causes rock to melt.,There is a row of hot spots at these boundaries.,A,True,0.9338746,0.013636904,0.030611428,0.021877002
How many sides does a rhombus have?,4,6,8,10,A,True,0.9956676,0.002123409,0.0016472654,0.0005618238
Which of the following degrees can be awarded by the local chapter of the FFA? I. Greenhand FFA Degree II. Chapter FFA Degree III. State FFA Degree IV. American FFA Degree,I only,II only,I and II only,"I , II , III , and IV",C,False,0.030782105,0.018380834,0.28752464,0.6633124
From whom does the Lutheran Church get its name?,Martin Luther King Jr,Martin Luther,Luther Vandross,Lex Luthor,B,True,9.857169e-05,0.99988294,1.6481028e-05,2.0398054e-06
What is the only metal that is a liquid at normal atmospheric pressure and temperature?,lead,antimony,uranium,mercury,D,True,7.367842e-05,6.761112e-05,3.426365e-05,0.99982446
"Which of the following has provided the most information about the structure of Earth's core, mantle, and lower crust?",Measurement of the intensity and fluctuations of Earth's magnetic field,Examination of flowing lava,Collection of samples from deep boreholes drilled into Earth,Studies of the speeds and travel paths of seismic waves passing through Earth,D,True,0.0049239057,0.0015737748,0.0024280073,0.9910744
"When the production of a good generates negative externalities, the private market will",overproduce the good relative to the socially optimal level of output,underproduce the good relative to the socially optimal level of output,compensate the third parties harmed by the negative externality,charge lower than the market equilibrium price to compensate for the externality,A,True,0.8627826,0.13026069,0.0040902263,0.002866614
Some observers argue that a limitation of the official unemployment rate is that it understates the true unemployment level because it fails to include which of the following?,New entrants to the labor market,People who are laid off and are looking for new jobs,Discouraged people who have given up looking for jobs,Full-time students looking for part-time jobs,C,True,0.0024345377,0.0032001396,0.9937401,0.000625241
Which fast food chain used the advertising slogan 'Where's the beef?',Wendy's,Kentucky Fried Chicken,Burger King,McDonald's,A,True,0.9985378,0.0005631683,0.0004020854,0.0004969943
What city is known as 'the rubber capital of the world'?,Omaha Nebraska,Rockford Illinois,Grand Rapids Michigan,Akron Ohio,D,True,0.00021984182,0.000292383,0.00021474919,0.999273
What was the first American college to become coeducational?,Oberlin College,Dartmouth College,Grinnell College,Antioch College,A,True,0.78470236,0.010311639,0.13113692,0.07384906
What color is Uncle Sam's goatee?,brown,black,white,dishwater blond,C,True,0.27945727,0.14899951,0.48664594,0.08489737
According to a famous line from the existentialist play 'No Exit' what is hell?,oneself,other people,little made,large hued in green and blue,B,False,0.8692921,0.075957894,0.033574704,0.0211753
"A passage from Zora Neale Hurston's Their Eyes Were Watching God is as follows. The people all saw her come because it was sundown. The sun was gone, but he had left his footprints in the sky. It was the time for sitting on porches beside the road. It was the time to hear things and talk. These sitters had been tongueless, earless, eyeless conveniences all day long. Mules and other brutes had occupied their skins. But now, the sun and the bossman were gone, so the skins felt powerful and human. They became lords of sounds and lesser things. They passed nations through their mouths. They sat in judgment. Zora Neale Hurston is associated with which of the following literary movements?",New England Puritanism,Transcendentalism,Naturalism,Harlem Renaissance,D,True,3.827453e-05,0.00014165272,0.00062378164,0.99919635
What is the 7-Eleven company's trademarked name for its super-large sodas?,Big Slurp,Big Gulp,Big Drink,Big Sip,B,True,0.004999805,0.9946268,0.00019123103,0.00018211787
The sport of judo comes from what Asian country?,Japan,Vietnam,Laos,Philippines,A,True,0.9998919,7.2399496e-05,2.068212e-05,1.5061336e-05
The demand for which of the following products is likely to be the most elastic?,Water,Bread,Salt,Pork,D,False,0.6404993,0.06441671,0.040310945,0.25477302
What country is the rock group U2 from?,England,Ireland,Belgium,Germany,B,True,0.00020906098,0.99977165,1.13315045e-05,8.011733e-06
Elephant tusks are made of what material?,Coral,Ivory,Bone,Calcium,B,True,0.00046685117,0.9984699,0.00049117074,0.000571998
What city did the Beatles originally call home?,London,Leeds,Liverpool,Manchester,C,True,0.0011459122,0.00043493925,0.9979791,0.0004400662
Which of these is not one of the three branches of the US government?,Judicial,Executive,Parliamentary,Legislative,C,True,0.00089663826,0.0008792957,0.9968189,0.0014051106
In British currency how many pence make a pound?,10,100,500,1000,B,True,0.012634467,0.9804299,0.0035084651,0.0034271914
How are actors Charlie Sheen and Emilio Estevez related?,They're cousins,They're brothers,They're father and son,They're uncle and nephew,B,True,0.1495315,0.78348905,0.046504,0.020475434
Which of the following requires the use of at least two needles?,macrame,braiding,crocheting,hand knitting,D,True,0.125709,0.08116383,0.12669495,0.6664322
In 1909 Frederick Cook claimed to be the first explorer to reach what location?,Mount Everest,Bermuda Triangle,Atlantis,North Pole,D,True,0.040159218,0.0011392293,0.00081735704,0.95788425
A clothes dryer that is set to run for 30 minutes is an example of which of the following control systems?,Open loop,Closed loop,Negative feedback,Positive feedback,A,False,0.08401185,0.86185145,0.03502135,0.019115303
How many stars are on the American flag?,13,48,50,51,C,True,0.23268127,0.04617701,0.6654416,0.05570011
Who was the English king at the time of the American Revolution?,Charles I,James I,Edward III,George III,D,True,0.0005482725,0.0002682525,0.000108595705,0.9990748
Which of these animals lays eggs?,cow,gerbil,frog,elephant,C,True,0.037107367,0.11385313,0.8185754,0.03046413
"An enterprise analysis shows an average return of $151 for each $100 of feed fed to hogs last year and a return of $130 for each $100 of feed fed to hogs this year. Assuming that feed costs are stable and there are no major death losses, which of the following is the most likely explanation for the difference in returns?",Lower feed efficiency,Poor record keeping,Lower market prices,Lower purchase prices,C,True,0.061593756,0.0048622335,0.92296535,0.010578691
"If tickets to a baseball game generally cost between $10 and $30, a season has about 150 games, and each game is attended by 50,000-75,000 people, which of the following is a good estimate for ticket sales revenue for the 150 games combined?","$20,000,000","$200,000,000","$2,000,000,000","$20,000,000,000",B,True,0.26324818,0.62170905,0.027209496,0.08783333
Which of these is not a breed of cat?,Persian,Turkish Angora,Bichon Frise,Maine Coon,C,True,0.000901486,0.0019309422,0.99635315,0.00081442477
Approximately how many movies are watched in homes in the United States in one year?,"200,000,000","2,000,000,000","20,000,000,000","200,000,000,000",C,False,0.0772612,0.22886434,0.32528183,0.3685926
Which of these is not found in a Snickers candy bar?,almonds,chocolate,nougat,caramel,A,True,0.98549485,0.0033389083,0.004590566,0.006575682
In the children's game what color is 'Rover'?,Green,black,red,blue,C,False,0.32529745,0.5018663,0.070076235,0.10276001
Which of the following breakfast cereals is shaped like the letter O?,Life Corn,Chex,Cheerios,Raisin Bran,C,True,0.010260368,0.004361517,0.98317647,0.002201692
"Normally, S-P arrival intervals from a minimum of how many seismic stations are required to uniquely locate the epicenter of an earthquake?",1,2,3,4,C,True,0.0157604,0.17413732,0.7161622,0.093940035
Which character on the TV show 'Friends' is a chef?,Joey,Monica,Ross,Rachel,B,True,0.027930496,0.96931934,0.0002952049,0.0024548813
"If the tax rate for a single person with $25,000 in taxable income is 24 percent, and the tax rate for a single person with $20,000 in taxable income is 20 percent, the tax rate over this income range is",regressive,progressive,proportional,revenue-neutral,B,True,0.035767723,0.9554689,0.005838921,0.0029245473
The aesthetic philosophy that claims that the value of a work of art is determined by museums and galleries is known as,capitalism,conceptualism,structuralism,institutionalism,D,True,0.00024330002,0.000497273,0.00016175651,0.9990977
What is your hallux?,earlobe,tongue,eyelid,big toe,D,True,0.0005733923,0.00029114916,0.00018470456,0.9989507
What metal device is used by police to immobilize the wheels of repeat parking offenders?,Brooklyn clamp,Denver boot,LoJack,The Club,B,True,0.00494105,0.96392685,0.000745987,0.030386068
What disease is sometimes referred to as the 'royaldisease'?,rickets,measles,hemophilia,tuberculosis,C,True,0.034339536,0.0100717535,0.8126982,0.14289048
Which of the following statements accurately describes a JPEG compressed digital photograph?,The JPEG format is used only for color photos.,A JPEG compression alters the proportions of the original image by rearranging data.,A JPEG compression sharpens the details in an image.,The JPEG format compresses file size by selectively discarding data.,D,True,0.0014570149,0.003906797,0.00059330434,0.99404293
What do herpetologists study?,Herpes,Blood,Insects,Reptiles and amphibians,D,True,0.0001129752,0.00026943008,6.9060356e-05,0.9995485
Which of these is a virus?,Staphylococcus,Leukemia,Scoliosis,Chicken pox,D,True,0.41184506,0.012485318,0.0061086738,0.569561
What new token was recently added to the Monopoly board game?,piggybank,sack of money,globe,telephone,B,False,0.22498494,0.046609983,0.56121045,0.1671946
What is considered the proper way to address a duke?,Your Majesty',Your Eminence',Your Excellency',Your Grace',D,True,0.018995553,0.07842743,0.049463563,0.8531134
Which of the following is about the Watergate scandal?,All the King's Men',All the Pretty Horses',All the President's Men',All the Right Moves',C,True,0.00030349166,8.74628e-05,0.9994531,0.00015591929
What causes the disease toxoplasmosis?,a bacterium,a protozoan,a virus,a prion,B,True,0.00043209514,0.9992293,0.00024049717,9.8123215e-05
Which of these rock guitarists designed a colorful line of men's neckties?,Eric Clapton,Jerry Garcia,Jeff Beck,Keith Richards,B,True,0.1481192,0.5997152,0.06345691,0.18870874
In mobster lingo if you 'sing like a canary' what are you doing?,impersonating Sinatra,talking to the cops,killing an enemy,betting on horses,B,True,8.446966e-05,0.9997881,0.00010636336,2.1087852e-05
Where did Lewis and Clark begin their famous expedition in 1804?,Seattle,St Louis,New Orleans,Washington DC,B,True,0.0008962237,0.9675913,0.0040639425,0.027448453
