0,1,2,3,4,5,C:/Users/HP/Desktop/qwen/qwenModel_correct,C:/Users/HP/Desktop/qwen/qwenModel_choiceA_probs,C:/Users/HP/Desktop/qwen/qwenModel_choiceB_probs,C:/Users/HP/Desktop/qwen/qwenModel_choiceC_probs,C:/Users/HP/Desktop/qwen/qwenModel_choiceD_probs
Which of the following lists includes minerals only?,"Granite, gabbro, diorite, quartz, feldspar","Gold, quartz, topaz, diamond, corundum","Gneiss, schist, phyllite, chlorite, mica","Coal, chert, limestone, dolomite, halite",B,True,0.23747416,0.5066758,0.08143021,0.17441979
Which of the following is a likely outcome of the development and use of genetically modified plants?,Reduced cost of plant seeds,New plant varieties being patented,Increased genetic diversity within a planted field,Less oversight and fewer regulations than for unmodified crops,B,True,0.039935805,0.5599784,0.32663253,0.07345318
"A teacher reads aloud Where the Wild Things Are, a picture storybook in which a boy named Max encounters wild monsters that are vividly portrayed. The teacher then shows the students picture cards depicting scenes from the beginning, middle, and end of the story. Which of the following concepts of literary structure is the teacher helping students understand?",Plot sequence,Point of view,Character development,Setting,A,True,0.8213341,0.052097525,0.030746425,0.09582202
"Which movie popularized the phrase ""You talkin' to me?""",Ghost Busters,Taxi Driver,Joker,Groundhog Day,B,False,0.1937326,0.30597705,0.10740805,0.39288232
Which of the following most likely indicates the presence of water in the hydraulic system in a piece of farm machinery?,"A grayish, milky fluid",Excessive fluid use,Excessive thinning of the fluid,A noisy relief valve,A,True,0.8485752,0.03381493,0.0411085,0.07650138
What animal represents the year 2000 on the Chinese calendar?,dragon,rabbit,tiger,monkey,A,True,0.5740481,0.23467039,0.1049511,0.08633041
Which of the following is part of a farm combine?,Beater,Conditioner,Seed plate,Furrow opener,A,False,0.11850328,0.058206856,0.20961094,0.61367893
According to legend in what country are you most likely to meet a leprechaun?,Ireland,Poland,Greenland,Scotland,A,True,0.97599083,0.010027468,0.008443975,0.0055376943
During which of the following processes within the hydrologic cycle do water molecules absorb energy?,Formation of ice from water,Formation of a cloud from water vapor,Runoff along the land surface,Evaporation from the ocean surface,D,False,0.06264168,0.70578164,0.09740106,0.13417564
What French city is home to a famous international film festival each spring?,Cannes,Marseille,Dijon,Lyon,A,True,0.98895186,0.004319121,0.0023759461,0.004352996
What do you call three consecutive strikes in bowling?,yahtzee,mulligan,turkey,ace,C,True,0.34445876,0.18365668,0.4354367,0.036447786
Which of the boys on the TV show 'My Three Sons' is adopted?,Mike,Ernie,Chip,Robbie,B,False,0.16555195,0.22190596,0.33312032,0.2794218
Which of these horror films spawned the most sequels?,Scream',Jaws',Halloween',Friday the 13th',D,True,0.040587485,0.067971244,0.33983487,0.5516064
What is the name of the female character played by comedian Flip Wilson on his 1970s TV show?,Miss Jackie,Elizabeth Sanford,Geraldine Jones,Gladys Knight,C,False,0.40188786,0.36592308,0.20526423,0.026924808
What kind of animal is a peregrine?,moose,cat,bird,fish,C,True,0.0010975269,0.004093767,0.99391645,0.0008922831
What part of the human body does a gastroenterologist examine?,Brain,Skeleton,Stomach,Nose,C,True,0.001367188,0.0027510284,0.9948578,0.0010239765
A piece of paper that appears blue in sunlight is illuminated solely by a red light that is passed through a green filter. What color does the paper appear under this illumination?,Blue,Green,Red,Black,D,False,0.1908673,0.2787972,0.3538121,0.1765234
Meat should be kept frozen at what temperature in degrees Fahrenheit?,0 degrees or below,between 10 and 20 degrees,between 20 and 30 degrees,just below 32 degrees,A,True,0.37042573,0.28848785,0.14281183,0.19827461
What kind of animal is cartoon character Tennessee Tuxedo?,cat,skunk,walrus,penguin,D,False,0.6737759,0.20072986,0.035018142,0.09047604
What US president is mentioned by name in the opening theme song of TV's 'All in the Family'?,Calvin Coolidge,Harry Truman,Herbert Hoover,Richard Nixon,C,False,0.1797014,0.31785938,0.22627822,0.27616102
What is the heaviest confirmed noble gas?,Xenon,Argon,Radon,Krypton,C,False,0.4651148,0.08570216,0.2865489,0.16263412
How many moles of HCl must be added to sufficient water to form 3 liters of a 2 M HCI solution?,1 mol,2 mol,3 mol,6 mol,D,True,0.10597717,0.28250393,0.2653879,0.34613106
Who led the 1831 slave insurrection in SouthamptonVirginia?,John Brown,Dred Scott,Nat Turner,Harriet Tubman,C,True,0.017185403,0.005079995,0.97186464,0.005869923
For what purpose would you use an awl?,to shoot ducks,to polish floors,to make holes,to weigh fruit,C,True,0.0013434169,0.0010794657,0.99684095,0.0007361317
Which of these bones is located in the wrist?,Patella,Humerus,Carpals,Coccyx,C,True,0.0044701016,0.114836,0.8788913,0.0018025604
What do you call a young cow?,mare,lamb,kid,calf,D,True,0.030105907,0.017288366,0.07962895,0.8729767
Which of these is an Italian Design firm?,Escada,Fendi,Ghost,Mainbocher,B,False,0.07495944,0.26888692,0.15380678,0.5023469
Operant conditioning would be most useful for,determining whether a toddler is securely attached,increasing on-task behavior in the classroom,measuring a dependent variable,preventing anterograde amnesia,B,True,0.0081038475,0.962643,0.02486429,0.004388808
Which of these countries was not a member of the Axis alliance during World War II?,Germany,Italy,Spain,Japan,C,True,0.0042556287,0.002467784,0.9574353,0.03584134
The demand for labor is called derived demand because it is,dependent on the demand for the final product that the labor is used to produce,inversely related to the wage rate,dependent on the availability of capital goods,directly related to the marginal utility of working,A,True,0.95645404,0.023027064,0.010919787,0.009599109
Which of the following actions is most important before removing the blade from a gas-powered lawn mower?,Adjusting the wheels to their highest level,Removing the spark plug,Emptying the gas tank,Removing the air filter,B,True,0.047845956,0.39594206,0.2965469,0.25966516
Which of the following is a force that is most responsible for causing a fixed-wing aircraft to move forward?,Lift,Drag,Thrust,Weight,C,False,0.63512486,0.071537934,0.27423292,0.019104337
Which of the following heavenly bodies have never had a spacecraft landed on it?,Venus,Mars,The Moon,Jupiter,D,True,0.30132005,0.17713693,0.18275984,0.33878323
The labor force primarily consists of all,employed workers under the age of 16,persons classified as unemployed or employed,persons who are employed as full-time workers,"unemployed, employed, and discouraged workers",B,True,0.0040224628,0.7144991,0.030665684,0.2508128
Which of the following is an example of persuasive speech?,A campaign manager's introduction of a mayoral candidate,A professor's lecture on the structure of the heart,A company president's yearly sales report,A tour guide's discussion of an art museum installation,A,True,0.99409276,0.0021576465,0.0012758689,0.0024737539
What is the name of the POW camp where 'Hogan's Heroes' are held?,Stalag 13,Alcatraz 17,Devil's Island,Leavenworth,A,True,0.9657994,0.019052055,0.0069543156,0.008194186
Which value is the most reasonable estimate of the volume of air an adult breathes in one day?,100 liters,"1,000 liters","10,000 liters","100,000 liters",C,True,0.068170756,0.29727924,0.505689,0.12886101
What is a Dutch oven?,a toaster oven,a microwave,a kettle pot,a sauna,C,True,0.02025806,0.0027957042,0.9722826,0.00466367
What does it mean to work 'probono'?,work overtime,work without pay,work as your own boss,not work at all,B,True,0.0016406807,0.98975253,0.0068805935,0.0017261482
What is the largest animal ever to live on Earth?,blue whale,giant squid,woolly mammoth,Tyrannosaurus,A,True,0.57428026,0.13428877,0.27339837,0.018032579
Which of these is not a Hindudeity?,Shiva,Vishnu,Sanskrit,Brahma,C,True,0.012419244,0.027553298,0.8275471,0.13248041
What kind of angle is formed where two perpendicular lines meet?,obtuse,acute,right,invisible,C,True,0.03052062,0.15439223,0.8121236,0.0029635008
The nineteenth-century photographic process used to create a daguerreotype was notable for its,quick exposure time,ability to capture sharp detail,capacity to be reproduced multiple times,use of paper negatives,B,True,0.021619,0.77712697,0.038994327,0.1622596
A business teacher has students analyze a scenario in which a few firms in the gas industry produce a homogeneous product and dominate the market. This situation would primarily produce a market structure representative of,an oligopoly,a pure monopoly,monopolistic competition,pure competition,A,False,0.21764691,0.64220357,0.07851917,0.061630405
In traditional English puppet shows who is married to the character Punch?,Debbie,Victoria,Judy,Barbara,C,False,0.13880576,0.2523285,0.21498656,0.3938792
In what sport do athletes compete for the Walker Cup?,cricket,tennis,squash,golf,D,True,0.010916487,0.008017932,0.047050044,0.9340155
A pita is a type of what?,Fresh Fruit,flat bread,French tart,fried bean dip,B,True,0.0010303585,0.9952099,0.002457261,0.0013024951
What is the oldest permanent European settlement in the United States?,St Augustine Florida,Plymouth Massachusetts,Newport News Virginia,Charlotte North Carolina,B,True,0.3333807,0.64764816,0.014252629,0.0047184136
"As seen from Earth, the Moon goes through a series of phases due to changes in which of the following?",The amount of the Moon's surface that is in Earth's shadow,The amount of the illuminated side of the Moon that can be seen from Earth,The part of the Moon that faces Earth as the Moon rotates on its axis,The tilt of the Moon on its axis,B,True,0.032494456,0.60598224,0.35346633,0.008056975
In which of the following fields did Islamic civilization most influence Europeans at the time of the Crusades?,Music,Theology,Mathematics,Law,C,False,0.19636868,0.21399045,0.2758446,0.31379625
Which of the following is not a flavor of Ben & Jerry's Ice Cream?,Wavy Gravy,Bovinity Divinity,Cutie Patootie,Chubby Hubby,C,False,0.24676335,0.30471206,0.19293167,0.2555929
Which of the following terms refers to the use of distortion to create the illusion of an object extending into space?,Cantilevering,Contrapposto,Sfumato,Foreshortening,D,True,0.27654585,0.06777047,0.17785531,0.47782838
How much energy do Americans waste each year by throwing out the unused ice in their drinks?,6*10^8 J,6*10^11 J,6*10^14 J,6*10^17 J,C,True,0.08501062,0.24694914,0.4559867,0.21205351
Who wrote 'A Tale of Two Cities'?,Charles Dickens,Nathaniel Hawthorne,Washington Irving,Mark Twain,A,True,0.9925922,0.0022489787,0.0022141116,0.0029447014
What is your astrological sign if you were born on Halloween?,Scorpio,Capricorn,Libra,Cancer,A,True,0.32436928,0.24967594,0.14850707,0.27744773
In an adult human how long is the large intestine?,one foot,five feet,twelve feet,twenty feet,B,False,0.13417159,0.31935617,0.45389664,0.09257562
The purpose of an amicus curiae brief is to,influence the outcome of a Supreme Court case,explain the reasoning of a Supreme Court decision,request a writ of habeas corpus from the Supreme Court,order a party to comply with a Supreme Court decision,A,True,0.9797682,0.014363063,0.0041798893,0.0016888279
What are the names of the two primary M&M's spokes-candies?,Peanut and Plain,Red and Yellow,Mort and Marty,They don't have names,B,True,0.23272008,0.32184017,0.31438476,0.13105506
The accumulation of stress along the boundaries of lithospheric plates results in which of the following?,Earthquakes,Magnetic reversals,Hurricanes,Increased deposition of deep-sea sediments,A,True,0.92622566,0.019373972,0.0017364123,0.05266391
In bowling how many pins must you knock down to get a strike?,zero,8,10,12,C,False,0.83894724,0.055986837,0.094127275,0.010938669
Which of the following geometric shapes is most commonly used to give strength to the structure of truss bridges?,Circle,Triangle,Hexagon,Rectangle,B,True,0.009084,0.9597482,0.022048255,0.009119554
What kind of item is a ginsu?,radio,knife,toothbrush,martial arts weapon,B,True,0.0017926991,0.9770165,0.0020674178,0.019123344
Which of these words is a synonym for 'perambulate'?,kiss,shout,stroll,heal,C,True,0.0037250165,0.0034993293,0.98940384,0.0033718513
"After a visit to a rescue squad, Ms. Espinosa asks her 3-year-old students to help her write a thank-you letter to the rescue squad employees. She records the students' responses on a large sheet of chart paper as the students share their ideas. While writing, Ms. Espinosa focuses the students' attention on several early literacy skills. Which of the following is the most appropriate focus for 3-year-old students?",Paraphrasing ideas,Spelling words correctly,Expressing speech in print,Capitalizing proper nouns,C,True,0.1621015,0.08609146,0.73505217,0.016754912
What's the third letter of the Greek alphabet?,delta,gamma,phi,theta,B,True,0.17047527,0.47624576,0.20165513,0.15162385
"A well on the side of a hill penetrates the water table at an elevation of 550 feet above sea level. If someone plans to drill on the top of the hill, where would the water table most likely be found?",The water table would be found at sea level.,The water table would be found at an elevation lower than 550 feet above sea level but above sea level.,The water table would be found at an elevation higher than 550 feet above sea level but many feet below the land surface.,"The water table would intersect with the land surface at the top of the hill, forming a spring.",C,True,0.028138896,0.12660335,0.7089006,0.13635719
Before he went into coaching Phil Jackson played for which of the following NBA teams?,Boston Celtics,Los Angeles Lakers,New York Knicks,Philadelphia 76ers,C,True,0.05358102,0.4230969,0.48319182,0.040130332
Old-fashioned steam engines were powered by coal transferred from the tender to the engine by human stokers using a shovel. What is the maximum power such an engine could attain?,6*10^3 W,6*10^5 W,6*10^7 W,6*10^11 W,B,False,0.063146465,0.27322638,0.55193245,0.11169472
People are supposed to drive on the left-hand side of the road in which country?,France,Italy,England,Germany,C,True,0.23378743,0.1025339,0.39459097,0.26908767
In the famous ballet 'The Nutcracker' who does the hero defeat?,Sugar Plum Fairy,Rat King,Snow Queen,Marzipan,B,True,0.30230638,0.4718936,0.10695183,0.11884823
An airplane's black box is usually what color?,black,white,orange,purple,C,False,0.9368512,0.036042977,0.021105966,0.0059999027
Which of these sentences is written in the subjunctive?,I am not your man,I wish I were your man,Wherefore art your man?,Your man is where?,D,False,0.052870438,0.88727665,0.047392752,0.012460103
Which of the following terms refers to the process of using thick applications of paint?,Scumbling,Alla prima,Impasto,Frottage,C,True,0.0044943364,0.006047791,0.9857897,0.0036681704
What was Richard Nixon's middle name?,Michael,Milhous,Mortimer,Matthew,B,True,0.067703694,0.5451594,0.28062403,0.10651286
In what country did Pokemon originate?,France,Hungary,Japan,Canada,C,True,0.00068612705,0.0013071363,0.99680734,0.0011994957
What important food crop is grown in fields called paddies?,wheat,rye,corn,rice,D,True,0.0008670264,0.0003415277,0.00040320473,0.9983883
A triad on a color wheel can be described as,three analogous colors,three colors equally spaced apart,three colors of equal value,a complementary set,B,False,0.3609623,0.34308982,0.14190811,0.1540398
Which of these famous baseball figures was once acquitted at court-martial for insubordination?,Abner Doubleday,Ty Cobb,Jackie Robinson,Billy Martin,C,False,0.08348393,0.12581472,0.15176152,0.63893986
Which of the following best describes an effect of the green revolution in the 1960s?,Increased varieties of each crop planted,Increased use of fertilizers,Decreased use of mechanization,Decreased use of pesticides,B,True,0.28956422,0.67325693,0.004943455,0.032235377
In what forest did Robin Hood live?,Black Forest,Petrified Forest,Nottingham Forest,Sherwood Forest,D,True,0.0019620855,0.0018075578,0.01111597,0.98511446
If a piece of music is in 'common time' how many quarter notes are there per measure?,one,four,five,ten,B,True,0.08106343,0.4812957,0.32061204,0.11702872
Which of these countries does not participate in NAFTA?,United States,Canada,Mexico,Guatemala,D,True,0.012779014,0.01136589,0.05153883,0.9243162
President Abraham Lincoln's Emancipation Proclamation declared free only those slaves who,were living in the areas still in rebellion,were serving in the Union armies,were living in the border states,had escaped to Northern states,A,True,0.9387379,0.036827877,0.012384075,0.012050035
Which of the following terms refers to Archaic Greek statues whose poses—rigidly frontal with clenched fists—recall the stance of ancient Egyptian statues?,Caryatids,Telamones,Discoboloi,Kouroi,D,True,0.029976912,0.12042806,0.29922888,0.55036616
In 1978 who became the youngest jockey ever to win horse racing's triple crown?,Jerry Bailey,Steve Cauthen,Willie Shoemaker,Pasquale Devito,B,False,0.2684026,0.27050772,0.070566155,0.3905235
What does the Latin phrase 'e pluribus unum' mean?,What a crazy life,In God we trust,from many one,for the greater good,C,True,0.0017694111,0.0017902683,0.99493563,0.0015046155
In the United States what is the first day of spring?,21-Feb,21-Mar,21-Apr,21-May,B,True,0.14227042,0.47941822,0.3480203,0.030291118
Which of the following is an example of a concurrent power?,The printing and coining of money,The power to declare war,The process of naturalization,The levying of taxes,D,False,0.19767347,0.28095067,0.385517,0.13585886
Which of these animals shares its name with a luxury car?,yak,gazelle,sloth,jaguar,D,True,0.021004071,0.0119211,0.016357986,0.9507168
Who were the Know-Nothings?,a '60's comedy troupe,computer designers,a political party,a spy ring,C,True,0.0031134358,0.0012827525,0.99361706,0.001986766
Which of the following poses the greatest safety risk while being heated in a school laboratory?,A mixture of iron and sulfur,Mercury(II) oxide,Sodium chloride,Copper(II) sulfate hydrate,B,True,0.05123908,0.93341166,0.0030353619,0.012313809
Who is the star of the TV show 'Everybody Loves Raymond'?,Ray Liotta,Ray Romano,Ray Parker Jr,Sugar Ray Leonard,B,True,0.0006560817,0.99695134,0.0019283314,0.00046432385
In what sport do you find 'steel cage' matches?,boxing,fencing,pro wrestling,college basketball,C,True,0.019854872,0.0039712237,0.9717264,0.00444756
Which of the following best helps explain why volcanoes tend to form along subduction zones?,Rock material carried deep below Earth's surface results in material melting and rising to the surface.,"Two plates pull away from each other, and magma oozes out.",The friction resulting from the collision of two continents causes rock to melt.,There is a row of hot spots at these boundaries.,A,True,0.6559767,0.30032802,0.0049115717,0.038783707
How many sides does a rhombus have?,4,6,8,10,A,True,0.5051689,0.28116885,0.1608322,0.05283006
Which of the following degrees can be awarded by the local chapter of the FFA? I. Greenhand FFA Degree II. Chapter FFA Degree III. State FFA Degree IV. American FFA Degree,I only,II only,I and II only,"I , II , III , and IV",C,False,0.061791565,0.106766246,0.2359478,0.59549433
From whom does the Lutheran Church get its name?,Martin Luther King Jr,Martin Luther,Luther Vandross,Lex Luthor,B,True,0.00516605,0.9921962,0.0016969407,0.00094080763
What is the only metal that is a liquid at normal atmospheric pressure and temperature?,lead,antimony,uranium,mercury,D,True,0.006863818,0.009492315,0.0039880206,0.97965586
"Which of the following has provided the most information about the structure of Earth's core, mantle, and lower crust?",Measurement of the intensity and fluctuations of Earth's magnetic field,Examination of flowing lava,Collection of samples from deep boreholes drilled into Earth,Studies of the speeds and travel paths of seismic waves passing through Earth,D,False,0.055981897,0.006556763,0.46873066,0.46873066
"When the production of a good generates negative externalities, the private market will",overproduce the good relative to the socially optimal level of output,underproduce the good relative to the socially optimal level of output,compensate the third parties harmed by the negative externality,charge lower than the market equilibrium price to compensate for the externality,A,False,0.38731435,0.4708545,0.10302976,0.03880136
Some observers argue that a limitation of the official unemployment rate is that it understates the true unemployment level because it fails to include which of the following?,New entrants to the labor market,People who are laid off and are looking for new jobs,Discouraged people who have given up looking for jobs,Full-time students looking for part-time jobs,C,True,0.024086198,0.07836101,0.8726048,0.02494804
Which fast food chain used the advertising slogan 'Where's the beef?',Wendy's,Kentucky Fried Chicken,Burger King,McDonald's,A,False,0.33866388,0.047103714,0.37780687,0.2364255
What city is known as 'the rubber capital of the world'?,Omaha Nebraska,Rockford Illinois,Grand Rapids Michigan,Akron Ohio,D,False,0.12854108,0.36761266,0.30003673,0.20380957
What was the first American college to become coeducational?,Oberlin College,Dartmouth College,Grinnell College,Antioch College,A,True,0.3446774,0.26017615,0.11819034,0.27695608
What color is Uncle Sam's goatee?,brown,black,white,dishwater blond,C,True,0.10530262,0.18481183,0.36326024,0.34662533
According to a famous line from the existentialist play 'No Exit' what is hell?,oneself,other people,little made,large hued in green and blue,B,False,0.64846337,0.11050649,0.115809806,0.12522025
"A passage from Zora Neale Hurston's Their Eyes Were Watching God is as follows. The people all saw her come because it was sundown. The sun was gone, but he had left his footprints in the sky. It was the time for sitting on porches beside the road. It was the time to hear things and talk. These sitters had been tongueless, earless, eyeless conveniences all day long. Mules and other brutes had occupied their skins. But now, the sun and the bossman were gone, so the skins felt powerful and human. They became lords of sounds and lesser things. They passed nations through their mouths. They sat in judgment. Zora Neale Hurston is associated with which of the following literary movements?",New England Puritanism,Transcendentalism,Naturalism,Harlem Renaissance,D,True,0.00330595,0.058828715,0.10324761,0.8346178
What is the 7-Eleven company's trademarked name for its super-large sodas?,Big Slurp,Big Gulp,Big Drink,Big Sip,B,True,0.014254592,0.964802,0.016279256,0.004664085
The sport of judo comes from what Asian country?,Japan,Vietnam,Laos,Philippines,A,True,0.9949877,0.0024280911,0.0012996636,0.001284522
The demand for which of the following products is likely to be the most elastic?,Water,Bread,Salt,Pork,D,False,0.48567772,0.14300635,0.13645762,0.2348584
What country is the rock group U2 from?,England,Ireland,Belgium,Germany,B,True,0.029116893,0.9679929,0.0020928064,0.00079744874
Elephant tusks are made of what material?,Coral,Ivory,Bone,Calcium,B,True,0.0030775785,0.97834444,0.01750391,0.00107402
What city did the Beatles originally call home?,London,Leeds,Liverpool,Manchester,C,True,0.024706103,0.014410942,0.949075,0.011807904
Which of these is not one of the three branches of the US government?,Judicial,Executive,Parliamentary,Legislative,C,True,0.00065903657,0.0011668558,0.9965635,0.0016105545
In British currency how many pence make a pound?,10,100,500,1000,B,True,0.003366542,0.9407699,0.03194086,0.0239226
How are actors Charlie Sheen and Emilio Estevez related?,They're cousins,They're brothers,They're father and son,They're uncle and nephew,B,True,0.15210807,0.43331558,0.17713904,0.23743735
Which of the following requires the use of at least two needles?,macrame,braiding,crocheting,hand knitting,D,True,0.07623618,0.29453525,0.2154866,0.41374195
In 1909 Frederick Cook claimed to be the first explorer to reach what location?,Mount Everest,Bermuda Triangle,Atlantis,North Pole,D,True,0.06532074,0.1919883,0.093202844,0.6494881
A clothes dryer that is set to run for 30 minutes is an example of which of the following control systems?,Open loop,Closed loop,Negative feedback,Positive feedback,A,False,0.2887399,0.62331843,0.059352547,0.028589122
How many stars are on the American flag?,13,48,50,51,C,False,0.5264089,0.03965198,0.41968977,0.014249236
Who was the English king at the time of the American Revolution?,Charles I,James I,Edward III,George III,D,False,0.6304536,0.16065384,0.026847951,0.18204466
Which of these animals lays eggs?,cow,gerbil,frog,elephant,C,False,0.48260453,0.16809177,0.08997304,0.25933063
"An enterprise analysis shows an average return of $151 for each $100 of feed fed to hogs last year and a return of $130 for each $100 of feed fed to hogs this year. Assuming that feed costs are stable and there are no major death losses, which of the following is the most likely explanation for the difference in returns?",Lower feed efficiency,Poor record keeping,Lower market prices,Lower purchase prices,C,False,0.7045943,0.05245554,0.10847594,0.13447417
"If tickets to a baseball game generally cost between $10 and $30, a season has about 150 games, and each game is attended by 50,000-75,000 people, which of the following is a good estimate for ticket sales revenue for the 150 games combined?","$20,000,000","$200,000,000","$2,000,000,000","$20,000,000,000",B,True,0.16730632,0.46375555,0.2521395,0.116798624
Which of these is not a breed of cat?,Persian,Turkish Angora,Bichon Frise,Maine Coon,C,True,0.00067510456,0.002764196,0.9908723,0.0056884023
Approximately how many movies are watched in homes in the United States in one year?,"200,000,000","2,000,000,000","20,000,000,000","200,000,000,000",C,False,0.16089109,0.3459702,0.29133612,0.20180266
Which of these is not found in a Snickers candy bar?,almonds,chocolate,nougat,caramel,A,True,0.8941252,0.019146038,0.051237457,0.03549115
In the children's game what color is 'Rover'?,Green,black,red,blue,C,True,0.21286745,0.21621963,0.39305556,0.17785743
Which of the following breakfast cereals is shaped like the letter O?,Life Corn,Chex,Cheerios,Raisin Bran,C,False,0.20318155,0.40407476,0.31592542,0.07681836
"Normally, S-P arrival intervals from a minimum of how many seismic stations are required to uniquely locate the epicenter of an earthquake?",1,2,3,4,C,True,0.04425107,0.19448368,0.66309,0.09817528
Which character on the TV show 'Friends' is a chef?,Joey,Monica,Ross,Rachel,B,False,0.17414647,0.270779,0.15488909,0.40018544
"If the tax rate for a single person with $25,000 in taxable income is 24 percent, and the tax rate for a single person with $20,000 in taxable income is 20 percent, the tax rate over this income range is",regressive,progressive,proportional,revenue-neutral,B,True,0.32997423,0.6460582,0.022020709,0.0019468293
The aesthetic philosophy that claims that the value of a work of art is determined by museums and galleries is known as,capitalism,conceptualism,structuralism,institutionalism,D,True,0.0010749727,0.0049609244,0.0032092754,0.9907548
What is your hallux?,earlobe,tongue,eyelid,big toe,D,True,0.0018843864,0.0014085863,0.0013180856,0.99538887
What metal device is used by police to immobilize the wheels of repeat parking offenders?,Brooklyn clamp,Denver boot,LoJack,The Club,B,True,0.22983615,0.5470576,0.029564828,0.19354144
What disease is sometimes referred to as the 'royaldisease'?,rickets,measles,hemophilia,tuberculosis,C,True,0.18108454,0.0390096,0.7505746,0.029331192
Which of the following statements accurately describes a JPEG compressed digital photograph?,The JPEG format is used only for color photos.,A JPEG compression alters the proportions of the original image by rearranging data.,A JPEG compression sharpens the details in an image.,The JPEG format compresses file size by selectively discarding data.,D,True,0.003269603,0.060381588,0.010090775,0.9262581
What do herpetologists study?,Herpes,Blood,Insects,Reptiles and amphibians,D,True,0.0005417379,0.00024561535,0.00040892523,0.99880373
Which of these is a virus?,Staphylococcus,Leukemia,Scoliosis,Chicken pox,D,True,0.004906649,0.015532507,0.0034657705,0.9760951
What new token was recently added to the Monopoly board game?,piggybank,sack of money,globe,telephone,B,False,0.11644672,0.16293825,0.37296936,0.34764567
What is considered the proper way to address a duke?,Your Majesty',Your Eminence',Your Excellency',Your Grace',D,True,0.035263594,0.2626083,0.10568969,0.59643847
Which of the following is about the Watergate scandal?,All the King's Men',All the Pretty Horses',All the President's Men',All the Right Moves',C,True,0.0019655642,0.0007727387,0.99460125,0.0026604992
What causes the disease toxoplasmosis?,a bacterium,a protozoan,a virus,a prion,B,True,0.0015099145,0.9964914,0.0014464094,0.0005522213
Which of these rock guitarists designed a colorful line of men's neckties?,Eric Clapton,Jerry Garcia,Jeff Beck,Keith Richards,B,False,0.07274274,0.035038956,0.527104,0.3651143
In mobster lingo if you 'sing like a canary' what are you doing?,impersonating Sinatra,talking to the cops,killing an enemy,betting on horses,B,True,0.30881393,0.38733944,0.2600474,0.04379913
Where did Lewis and Clark begin their famous expedition in 1804?,Seattle,St Louis,New Orleans,Washington DC,B,True,0.06687789,0.58226806,0.33963397,0.01122016
According to a popular slogan what state should people not 'mess with'?,New York,Texas,Montana,Rhode Island,B,True,0.16698343,0.598986,0.12409154,0.10993901
Each year in pro baseball the player voted as the best fielder at his position wins what?,a brand new car,the Gold Glove,the Silver Bat,the Brass Baseball,B,True,0.0061765662,0.9873072,0.0042617028,0.0022545492
